Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.230931388684355,55.6,1.0505674639834632,63.02,36.4,85.0,64.6,21.359426975250244,5.590374946594238,./models/resnet_01-batch128_best.pth
2,0.8005109993032754,71.875,0.852911073573028,70.22,37.5,91.2,70.45,21.21921443939209,4.714593887329102,./models/resnet_01-batch128_best.pth
3,0.6041406383529638,79.02,0.8027514033491099,73.14,47.1,94.3,72.9,21.371572494506836,4.341120958328247,./models/resnet_01-batch128_best.pth
4,0.47029620285232226,83.59,0.7065104989311363,76.58,45.0,90.0,79.30000000000001,21.392853021621704,4.917060852050781,./models/resnet_01-batch128_best.pth
5,0.35247801863156947,87.72,0.7758889575547809,75.13,52.9,86.8,76.35,21.46857190132141,5.229578495025635,./models/resnet_01-batch128_best.pth
6,0.2527476764572695,91.1775,0.7467808046295673,77.25,57.3,93.9,78.35,21.397754430770874,4.313058614730835,./models/resnet_01-batch128_best.pth
7,0.18510234971254017,93.635,0.8410732403774804,76.78,61.1,95.8,79.1,21.616600036621094,4.637695550918579,./models/resnet_01-batch128_best.pth
8,0.1338879079959644,95.41,0.9215976580788817,76.0,52.7,89.5,78.15,21.54906392097473,5.376077651977539,./models/resnet_01-batch128_best.pth
9,0.10729843654785864,96.2975,1.2531627152539506,69.52,55.7,87.3,66.3,21.707845211029053,4.4188926219940186,./models/resnet_01-batch128_best.pth
10,0.09253624889154594,96.8325,0.9907473504920549,76.92,56.0,90.3,80.9,21.779132843017578,4.446988582611084,./models/resnet_01-batch128_best.pth
11,0.08169165429787133,97.1475,0.923418278746967,78.42,61.4,93.5,81.30000000000001,21.562851905822754,5.519683122634888,./models/resnet_01-batch128_best.pth
12,0.07265358938487432,97.41,0.9047773801073243,79.3,58.3,93.1,80.05,21.661165475845337,5.241642236709595,./models/resnet_01-batch128_best.pth
13,0.05668914866761658,98.0175,1.022327050378051,78.35,63.0,91.2,81.15,21.51222515106201,4.969488620758057,./models/resnet_01-batch128_best.pth
14,0.05776658202015673,97.99,1.0300625673955,78.8,57.0,93.6,81.6,21.683359146118164,4.500880479812622,./models/resnet_01-batch128_best.pth
15,0.05288099912039864,98.1975,1.0109816523669641,78.59,56.5,93.1,81.9,21.455492734909058,5.569605827331543,./models/resnet_01-batch128_best.pth
16,0.05712194646672961,98.02,1.0069180378053761,78.8,65.1,93.0,79.85,21.61175775527954,4.525066137313843,./models/resnet_01-batch128_best.pth
17,0.043318608057158536,98.4725,1.0644833185250246,78.54,63.3,91.5,78.8,21.523552417755127,4.489289045333862,./models/resnet_01-batch128_best.pth
18,0.047968114333483164,98.43,1.0160180867850026,79.78,55.9,91.3,83.25,21.693767070770264,5.141996622085571,./models/resnet_01-batch128_best.pth
19,0.035467045165199676,98.815,1.2465059368670741,76.99,66.4,91.1,77.25,21.66477656364441,5.124918460845947,./models/resnet_01-batch128_best.pth
20,0.03704651457387002,98.735,1.174476911750021,78.08,65.2,93.6,76.95,21.596623182296753,4.960774183273315,./models/resnet_01-batch128_best.pth
