Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.4500415461063385,47.7675,1.1144485827832937,60.75,27.8,84.1,65.5,82.80471730232239,8.25658369064331,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
2,1.1073575700759888,60.6075,0.9014208396783652,67.95,48.6,80.7,70.4,83.31998014450073,8.3756263256073,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
3,0.9652216662168502,66.055,0.7439432100842174,74.38,55.1,84.9,79.25,86.20903372764587,8.497692823410034,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
4,0.857284763097763,70.0975,0.6964623911050372,75.85,61.7,91.1,75.3,84.32958722114563,7.890598773956299,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
5,0.7866423504114151,72.615,0.7214666769420282,74.93,39.8,95.2,79.44999999999999,82.14232993125916,7.984817743301392,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
6,0.7282362751960755,74.5875,0.6429338578384715,77.63,39.3,92.1,83.19999999999999,82.51645040512085,8.222781896591187,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
7,0.6834705779671669,75.9,0.5922004356861305,79.86,63.7,94.3,80.94999999999999,82.33984303474426,8.175825834274292,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
8,0.638175133740902,77.835,0.5982230748481359,79.68,63.7,94.2,78.75,84.06471514701843,7.9709250926971436,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
9,0.6014521689295769,79.105,0.49985153097123763,82.79,68.2,94.2,84.9,84.02782917022705,7.373270750045776,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
10,0.5677150361299514,80.2925,0.5256865291139141,81.93,65.6,92.8,84.45,83.4960253238678,7.398823976516724,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
11,0.5400713624000549,81.125,0.5224456461027455,82.42,67.4,94.3,86.0,83.24939012527466,8.37153172492981,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
12,0.5168261116147042,81.96,0.5107474052748932,82.94,66.4,95.0,85.0,83.10722708702087,8.04505181312561,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
13,0.4865828603863716,83.2775,0.4925745673977529,83.19,67.7,94.4,83.69999999999999,82.96584749221802,7.632261753082275,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
14,0.4601367668032646,83.8975,0.479591216841421,83.85,65.7,94.3,83.75,83.63831806182861,7.437150001525879,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
15,0.44168486379384997,84.455,0.46065957240236644,84.64,62.4,93.1,87.35,83.58701586723328,8.291407585144043,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
16,0.4254928901970387,85.065,0.48148698293672393,83.97,63.6,93.1,86.05,85.66370701789856,8.542750597000122,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
17,0.39999935539364817,85.9575,0.46482957899570465,84.91,68.8,93.6,84.69999999999999,84.34370160102844,8.588825702667236,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
18,0.3861988848954439,86.3975,0.4645196157537353,84.82,71.4,93.8,86.55,85.43869137763977,8.46415114402771,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
19,0.3673636091053486,87.0625,0.4695476181031511,85.02,73.2,95.2,85.6,84.94279432296753,8.046751260757446,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
20,0.3526350394636393,87.6475,0.4670486077978707,85.12,66.0,95.2,84.75,85.3052191734314,8.02267575263977,./models/resnet_01-batch32-colorjitter-lr0005_best.pth
