Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Learning Rate,Model Filename
1,1.4836147349834443,46.8225,1.194246449123937,58.55,22.3,84.4,59.650000000000006,92.5742576122284,8.477660417556763,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
2,1.1289270020961761,59.915,0.8571058573147741,70.18,53.8,87.8,69.95,93.29433393478394,8.489678144454956,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
3,0.9751569994688034,65.9825,0.7668062766877036,73.15,53.0,91.0,73.4,92.71934771537781,8.515150547027588,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
4,0.8679463345766067,69.845,0.6800186477434902,76.24,57.8,87.8,77.3,93.57166171073914,8.578672170639038,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
5,0.7912410762786866,72.6425,0.6506261508673811,77.62,58.2,95.8,79.65,93.39576148986816,8.33741807937622,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
6,0.7314538188099862,74.5025,0.590446491544239,79.7,62.7,93.3,80.19999999999999,93.05083179473877,8.312318325042725,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
7,0.6837793715715408,76.2,0.5544266503292341,80.72,65.7,90.7,82.5,93.04487299919128,8.221807956695557,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
8,0.6285175360321998,78.2625,0.5927323934773858,79.5,62.4,93.8,81.3,93.13792109489441,8.405791997909546,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
9,0.5933638200044632,79.39,0.5286151581167128,81.98,68.6,94.0,82.65,92.67641186714172,8.821008205413818,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
10,0.5617045508503914,80.2575,0.5473090388214055,81.63,64.8,92.4,80.9,94.59266018867493,8.770732164382935,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
11,0.5352584627389908,81.515,0.51346028950839,82.45,53.0,94.9,87.15,93.09426093101501,8.169432401657104,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
12,0.5009711854040623,82.57,0.5245400303528427,82.27,62.5,94.5,83.94999999999999,92.34702897071838,8.35696005821228,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
13,0.47996749973893166,83.005,0.5421087120037776,81.65,65.1,92.5,83.1,93.3397479057312,8.515608787536621,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
14,0.44990562534928324,84.25,0.4786074102525941,84.07,71.8,93.6,86.6,92.53279328346252,8.601423740386963,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
15,0.43172867218852046,84.845,0.4748612107744756,84.42,58.6,94.1,86.2,91.94580936431885,8.480538129806519,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
16,0.4147316885650158,85.49,0.4731545612891428,84.66,71.2,94.6,86.94999999999999,92.41639447212219,8.546458959579468,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
17,0.3914258050262928,86.3025,0.46673375402633754,84.31,75.8,93.9,85.4,92.65523338317871,8.361610412597656,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
18,0.3654151931852102,87.1375,0.46755834836691335,84.83,67.8,94.9,86.94999999999999,92.25592708587646,8.559101819992065,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
19,0.3540263953208923,87.59,0.4585404126241375,85.27,70.9,93.0,89.15,92.97212791442871,8.774614810943604,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
20,0.3391756987780333,88.185,0.486067694208671,85.0,74.0,94.3,85.65,93.27131199836731,8.24137544631958,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
21,0.32209206834733484,88.785,0.4667894466223713,85.32,74.2,95.0,86.5,93.12794589996338,8.696375370025635,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
22,0.3128237118124962,89.06,0.48253361967663033,84.72,63.4,93.2,86.85,92.37970447540283,8.407017707824707,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
23,0.3014701453536749,89.46,0.47802610564738895,85.6,71.7,94.6,86.05000000000001,92.88295078277588,8.51171612739563,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
24,0.28603240158855914,89.825,0.4729208827581102,85.65,68.8,93.8,86.55,93.1351466178894,8.953334331512451,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
25,0.27889970592856406,90.2775,0.479182710316175,85.63,74.6,94.7,85.25,92.87678551673889,8.673674821853638,0.001,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
26,0.21359074464291333,92.62,0.45957840800124666,86.64,71.4,95.0,89.0,93.95135045051575,8.890514850616455,0.0005,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
27,0.1859445715546608,93.5375,0.4622566723101103,86.71,70.3,95.1,87.9,92.75444626808167,8.468130350112915,0.0005,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
28,0.1852001356497407,93.6025,0.45726616401522874,86.91,71.5,93.7,89.55000000000001,93.03558087348938,8.439786434173584,0.0005,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
29,0.17229302250668407,94.0425,0.4900848921135473,86.54,70.1,94.3,88.30000000000001,92.96450066566467,8.332554817199707,0.0005,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
30,0.16917592470645904,94.0975,0.4737795985031564,87.04,73.1,94.6,88.05000000000001,94.32150483131409,8.260028600692749,0.0005,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
31,0.1578971974372864,94.5475,0.4811123317418495,87.12,70.3,94.3,88.35,93.66315269470215,8.236213684082031,0.0005,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
32,0.15056358903497458,94.6875,0.5051561508754703,86.95,74.5,95.0,88.4,93.66812586784363,8.425381422042847,0.0005,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
33,0.14439228645674884,94.965,0.514978140565052,86.98,72.7,93.6,87.45,93.14478898048401,8.693567752838135,0.0005,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
34,0.13777953477799892,95.2025,0.5301348316704872,86.56,68.3,94.2,89.6,93.3779628276825,8.429868459701538,0.0005,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
35,0.11807834688890725,95.99,0.5169125522000376,87.2,73.6,94.6,87.55,93.4824013710022,8.565951824188232,0.00025,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
36,0.10587983571495861,96.405,0.527809107075847,87.26,75.7,94.8,88.0,93.38318943977356,8.226827144622803,0.00025,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
37,0.10225769368801266,96.3925,0.5126929703390244,87.31,76.2,94.5,89.19999999999999,93.46412587165833,8.628621578216553,0.00025,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
38,0.1000664411911741,96.5475,0.5114187104620052,87.43,73.9,94.4,88.5,94.65882205963135,8.768210649490356,0.00025,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
39,0.09911438327431679,96.6275,0.5251727253072166,87.17,74.6,94.5,87.7,93.22550535202026,8.637725591659546,0.00025,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
40,0.095256765733473,96.68,0.5300446021491096,87.31,74.7,94.9,88.2,93.4184148311615,8.388471126556396,0.00025,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
41,0.08608322957288474,97.1025,0.5211647641590272,87.72,74.3,95.0,89.15,92.93360233306885,8.618766784667969,0.000125,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
42,0.08001546477405354,97.3275,0.5130366448304815,87.52,75.8,94.2,89.6,93.56851720809937,8.39368724822998,0.000125,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
43,0.07645810454078018,97.3675,0.5237556990447488,87.81,74.4,95.0,89.45,93.85811686515808,8.481865406036377,0.000125,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
44,0.07611655547944829,97.385,0.5218140880403201,87.87,75.2,94.5,90.0,92.91359186172485,8.820621013641357,0.000125,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
45,0.07248652973948047,97.5225,0.5290630272049948,87.84,77.5,94.1,89.9,93.52871775627136,8.408915519714355,0.000125,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
46,0.07352887921538204,97.5175,0.5292912789325888,87.87,74.9,94.9,88.85,93.80062985420227,8.534855842590332,0.000125,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
47,0.06386088280221447,97.81,0.5318096813500506,87.92,76.9,94.6,88.65,93.50750517845154,8.411072492599487,6.25e-05,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
48,0.06397362168533728,97.8375,0.5267861478392202,87.94,73.2,94.7,89.9,94.00889039039612,8.54341983795166,6.25e-05,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
49,0.06311942390454933,97.93,0.5322951583918697,87.97,75.2,94.4,89.5,93.79216766357422,8.695040225982666,6.25e-05,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
50,0.06146387161160819,97.8775,0.5390079129714528,87.98,77.1,94.7,89.5,93.5272626876831,8.536123991012573,6.25e-05,./models/resnet_01-batch32-colorjitter-reducelr_check.pth
