Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.4844948335170747,46.28,1.0858798310779536,61.54,38.4,74.8,66.75,84.84899425506592,7.754557132720947,./models/resnet_01-batch32-colorjitter_best.pth
2,1.1346438110351562,59.905,0.9073295468767992,67.9,39.4,88.5,69.1,84.11720848083496,8.346249341964722,./models/resnet_01-batch32-colorjitter_best.pth
3,0.9753407383441925,65.91,0.7762754395746956,73.01,50.9,91.8,75.6,82.91273140907288,8.23748779296875,./models/resnet_01-batch32-colorjitter_best.pth
4,0.8605112040519715,69.78,0.7077596314227619,75.77,58.3,89.6,76.8,85.75579333305359,8.031431436538696,./models/resnet_01-batch32-colorjitter_best.pth
5,0.7860927538156509,72.7875,0.6926052290053604,76.38,47.3,92.9,79.30000000000001,83.94241857528687,7.616827964782715,./models/resnet_01-batch32-colorjitter_best.pth
6,0.7167798662900925,75.21,0.5724389549142446,80.4,63.9,91.0,82.85,85.26579356193542,8.275537252426147,./models/resnet_01-batch32-colorjitter_best.pth
7,0.6696468451499938,76.64,0.605571535305855,79.05,51.7,93.9,81.1,84.38261461257935,7.632075786590576,./models/resnet_01-batch32-colorjitter_best.pth
8,0.624679281103611,78.3375,0.5594213666132511,80.8,57.8,95.4,82.3,83.98819589614868,8.281325101852417,./models/resnet_01-batch32-colorjitter_best.pth
9,0.5845705188274384,79.61,0.5271688465612193,81.86,62.1,92.7,83.25,84.21064615249634,8.295857429504395,./models/resnet_01-batch32-colorjitter_best.pth
10,0.561447326618433,80.4625,0.5131424602371054,82.57,68.0,93.0,83.75,83.71959495544434,8.046680688858032,./models/resnet_01-batch32-colorjitter_best.pth
11,0.5266042041242123,81.6875,0.4875627028467223,83.38,64.1,92.9,84.80000000000001,86.21301221847534,8.34635329246521,./models/resnet_01-batch32-colorjitter_best.pth
12,0.49730424193143846,82.5675,0.4971006753625342,83.0,70.5,94.4,84.25,87.51663708686829,8.188275575637817,./models/resnet_01-batch32-colorjitter_best.pth
13,0.47300465101003647,83.5825,0.4861999351126603,83.81,69.3,95.3,84.7,83.16210699081421,8.478408098220825,./models/resnet_01-batch32-colorjitter_best.pth
14,0.44835278322696687,84.41,0.4847280377694688,84.32,61.6,93.6,86.5,85.11492538452148,7.459245681762695,./models/resnet_01-batch32-colorjitter_best.pth
15,0.4236300740420818,85.2025,0.46099612579201926,84.53,70.9,93.3,86.95,85.35840010643005,7.74241042137146,./models/resnet_01-batch32-colorjitter_best.pth
16,0.408794627058506,85.625,0.4755627881949797,84.93,70.4,93.1,89.0,82.90295195579529,8.249003410339355,./models/resnet_01-batch32-colorjitter_best.pth
17,0.3870932561308146,86.4725,0.4622803992612627,85.24,71.9,93.7,87.30000000000001,84.1811351776123,8.836473941802979,./models/resnet_01-batch32-colorjitter_best.pth
18,0.3658279103517532,87.285,0.45612781251015994,85.22,74.3,93.5,86.45,85.20068049430847,8.294617652893066,./models/resnet_01-batch32-colorjitter_best.pth
19,0.3525174294263124,87.795,0.4683868891392915,84.83,72.4,94.3,86.65,84.51431727409363,8.200195074081421,./models/resnet_01-batch32-colorjitter_best.pth
20,0.3366272554367781,88.2075,0.4841445322794179,85.27,69.8,93.9,87.1,83.78906679153442,7.747690439224243,./models/resnet_01-batch32-colorjitter_best.pth
