Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.2827052121877671,53.99,1.0363196033639268,63.17,44.8,86.8,62.05,39.74361610412598,7.66843581199646,./models/resnet_01-batch32-normalize_best.pth
2,0.8355285722732544,70.735,0.8419896542219618,71.7,32.6,96.6,75.2,39.90555214881897,7.597926139831543,./models/resnet_01-batch32-normalize_best.pth
3,0.6441988654732704,77.565,0.6765652853436173,77.2,58.3,93.9,79.55,39.82474398612976,8.097615003585815,./models/resnet_01-batch32-normalize_best.pth
4,0.5027481282889843,82.68,0.6530054053916527,78.08,59.0,93.3,80.15,39.91403388977051,7.997298955917358,./models/resnet_01-batch32-normalize_best.pth
5,0.3772671082675457,87.0625,0.6332787909208776,79.18,61.0,91.3,81.19999999999999,39.85766839981079,8.272214889526367,./models/resnet_01-batch32-normalize_best.pth
6,0.2675117055028677,90.685,0.6840727490167648,79.45,51.3,91.2,83.3,40.34686756134033,7.453187942504883,./models/resnet_01-batch32-normalize_best.pth
7,0.19514521083906292,93.2625,0.6663901107832075,80.78,64.7,89.7,83.65,40.225417375564575,7.56762170791626,./models/resnet_01-batch32-normalize_best.pth
8,0.14034483546279372,95.09,0.7391213286197937,80.13,63.5,89.7,82.45,40.419206380844116,7.788438081741333,./models/resnet_01-batch32-normalize_best.pth
9,0.11103574593570083,96.17,0.8636788015403359,79.01,62.7,93.9,80.69999999999999,40.00971961021423,6.9633378982543945,./models/resnet_01-batch32-normalize_best.pth
10,0.09442608601795509,96.7625,0.8195914295665658,79.98,66.1,89.2,80.45,39.75193166732788,7.3006041049957275,./models/resnet_01-batch32-normalize_best.pth
11,0.07647489071073942,97.355,0.8614331896985158,80.26,69.3,88.9,81.85,40.231470823287964,7.356828212738037,./models/resnet_01-batch32-normalize_best.pth
12,0.08142633617203683,97.265,0.8343828134923078,81.23,70.1,91.5,81.65,39.68301343917847,7.260936498641968,./models/resnet_01-batch32-normalize_best.pth
13,0.06060530822528526,97.9425,0.9473140511554651,79.92,65.7,93.2,82.0,40.43353033065796,7.606351852416992,./models/resnet_01-batch32-normalize_best.pth
14,0.060743756713392216,97.85,0.9136872869892456,80.48,64.1,91.2,83.45,41.0575315952301,7.00226902961731,./models/resnet_01-batch32-normalize_best.pth
15,0.060353165980731135,97.97,0.9822426159038973,79.5,55.6,93.3,82.4,40.04680371284485,7.641242504119873,./models/resnet_01-batch32-normalize_best.pth
16,0.0477075220661005,98.3175,0.9482751878241773,80.27,68.6,93.1,80.65,39.825700998306274,7.293288230895996,./models/resnet_01-batch32-normalize_best.pth
17,0.04457292279767571,98.4775,1.0690354303979037,78.99,65.9,92.7,78.94999999999999,40.25816631317139,7.16032075881958,./models/resnet_01-batch32-normalize_best.pth
18,0.047033220556471494,98.46,0.9551779813112352,81.11,66.4,91.9,81.69999999999999,39.95037889480591,7.218548536300659,./models/resnet_01-batch32-normalize_best.pth
19,0.037992240382579624,98.7125,1.0108413128450084,80.51,64.6,92.2,81.25,40.3928439617157,7.2368879318237305,./models/resnet_01-batch32-normalize_best.pth
20,0.039163034277025145,98.6825,1.0584342259996997,79.91,65.2,92.4,81.35,40.38872027397156,7.362011194229126,./models/resnet_01-batch32-normalize_best.pth
