Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.2802144148349761,54.055,1.0466057429679285,63.51,31.1,87.2,66.7,42.22493600845337,7.763515949249268,./models/resnet_01-batch32-nrmlz_hflip_best.pth
2,0.8473021397590638,70.4275,0.8092493896786207,72.2,52.9,92.7,71.55000000000001,42.344528913497925,8.08201265335083,./models/resnet_01-batch32-nrmlz_hflip_best.pth
3,0.6822569607377053,76.66,0.7969860892085293,73.15,53.1,97.3,72.9,41.84343504905701,7.1457319259643555,./models/resnet_01-batch32-nrmlz_hflip_best.pth
4,0.5705925351023674,80.445,0.5868911106532184,80.37,66.0,92.4,80.65,42.62390947341919,7.23635458946228,./models/resnet_01-batch32-nrmlz_hflip_best.pth
5,0.48742678104639053,83.21,0.5562243746361508,81.49,57.8,92.0,82.80000000000001,42.612770318984985,7.155608177185059,./models/resnet_01-batch32-nrmlz_hflip_best.pth
6,0.4137324538886547,85.765,0.6244831725288504,79.21,61.3,92.4,79.2,42.53278946876526,7.998096227645874,./models/resnet_01-batch32-nrmlz_hflip_best.pth
7,0.3541680469453335,87.855,0.5705013140893211,80.98,66.9,88.6,82.25,41.79780197143555,8.001441955566406,./models/resnet_01-batch32-nrmlz_hflip_best.pth
8,0.3010579510182142,89.6075,0.5344394240052269,82.73,61.4,92.4,86.2,42.86685752868652,7.4321887493133545,./models/resnet_01-batch32-nrmlz_hflip_best.pth
9,0.2555531816869974,91.3175,0.5372844567349829,83.07,72.1,92.6,85.05,42.709431648254395,7.432373523712158,./models/resnet_01-batch32-nrmlz_hflip_best.pth
10,0.21834723201990128,92.4375,0.5970903909411847,82.41,71.7,95.4,82.65,42.074387311935425,7.086589574813843,./models/resnet_01-batch32-nrmlz_hflip_best.pth
11,0.18735687837451698,93.625,0.5481032388516889,83.35,68.8,91.4,87.9,42.215935945510864,7.8172523975372314,./models/resnet_01-batch32-nrmlz_hflip_best.pth
12,0.1525412269704044,94.785,0.6034997802037305,83.16,66.6,92.5,86.2,42.725815296173096,8.104163408279419,./models/resnet_01-batch32-nrmlz_hflip_best.pth
13,0.13993866341598332,95.23,0.667256577972069,82.04,63.2,97.0,85.0,42.15757489204407,7.810541391372681,./models/resnet_01-batch32-nrmlz_hflip_best.pth
14,0.11860455175563693,95.8325,0.5862889125014836,84.0,70.8,92.9,86.30000000000001,42.695868253707886,7.438161373138428,./models/resnet_01-batch32-nrmlz_hflip_best.pth
15,0.10812141934074461,96.285,0.6723318466122229,83.02,70.0,94.4,81.7,42.21060872077942,7.384658575057983,./models/resnet_01-batch32-nrmlz_hflip_best.pth
16,0.09910369644230231,96.5525,0.6107591035591361,84.17,70.6,91.9,86.65,42.47368550300598,7.905026197433472,./models/resnet_01-batch32-nrmlz_hflip_best.pth
17,0.08815828037904576,96.9375,0.664572867711399,82.89,71.5,92.3,85.4,42.22041988372803,8.55420708656311,./models/resnet_01-batch32-nrmlz_hflip_best.pth
18,0.08042446155957877,97.23,0.6599246519736756,83.91,67.6,93.2,84.5,41.656994342803955,7.698251008987427,./models/resnet_01-batch32-nrmlz_hflip_best.pth
19,0.0763736010924913,97.3475,0.7089597003872152,83.16,68.4,90.8,85.85,42.156986951828,7.635091781616211,./models/resnet_01-batch32-nrmlz_hflip_best.pth
20,0.06954894327819347,97.535,0.7066497716586106,83.45,72.4,92.4,83.65,42.334089517593384,7.30301570892334,./models/resnet_01-batch32-nrmlz_hflip_best.pth
