Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.4510198958396912,47.7825,1.0716226156146382,61.53,43.9,83.4,57.45,51.28499174118042,7.611122131347656,./models/resnet_01-batch32-randomerase_best.pth
2,1.1057056333065034,60.9125,0.9019947708033906,68.05,53.4,85.7,67.0,51.38887405395508,7.062139987945557,./models/resnet_01-batch32-randomerase_best.pth
3,0.9518539203643799,66.6725,0.8427646485523294,70.71,49.3,88.4,72.45,51.23720145225525,7.67317008972168,./models/resnet_01-batch32-randomerase_best.pth
4,0.8408590050935745,70.6925,0.7428633647051435,74.26,44.4,93.6,75.05000000000001,51.87436079978943,7.827813625335693,./models/resnet_01-batch32-randomerase_best.pth
5,0.7595502290248871,73.7375,0.6579808344522985,77.49,65.7,94.6,76.75,51.1446897983551,7.643300294876099,./models/resnet_01-batch32-randomerase_best.pth
6,0.7024239683151245,75.495,0.6737221751016931,77.0,54.6,90.4,80.6,51.05658674240112,7.12235689163208,./models/resnet_01-batch32-randomerase_best.pth
7,0.649148011136055,77.365,0.5654407492675149,80.45,64.1,91.2,82.5,51.41047644615173,7.412506580352783,./models/resnet_01-batch32-randomerase_best.pth
8,0.6038201570272446,78.97,0.5720531650768301,80.97,61.8,93.2,83.6,51.715503215789795,7.836834669113159,./models/resnet_01-batch32-randomerase_best.pth
9,0.5629028119802475,80.3,0.5353670192602724,81.82,70.2,92.2,82.75,50.93973231315613,7.987297058105469,./models/resnet_01-batch32-randomerase_best.pth
10,0.5309990525960923,81.385,0.5417390023105251,81.86,68.6,92.9,83.55000000000001,50.901878118515015,7.048318147659302,./models/resnet_01-batch32-randomerase_best.pth
11,0.49836170933246615,82.6525,0.4957987338947222,83.16,70.1,92.2,85.3,51.03203988075256,7.234633207321167,./models/resnet_01-batch32-randomerase_best.pth
12,0.47147206735610964,83.5275,0.48542509780238613,83.93,66.3,93.9,84.2,51.81122827529907,8.088875770568848,./models/resnet_01-batch32-randomerase_best.pth
13,0.44557848243713377,84.645,0.4668204707060807,84.13,68.4,92.4,86.1,50.37014389038086,7.69279146194458,./models/resnet_01-batch32-randomerase_best.pth
14,0.41641685174703597,85.3625,0.5035490544839054,83.38,68.3,94.6,83.1,51.42859673500061,7.228084564208984,./models/resnet_01-batch32-randomerase_best.pth
15,0.39166151860952375,86.2675,0.4761630491317866,84.49,62.4,93.4,87.15,52.09452939033508,7.894154071807861,./models/resnet_01-batch32-randomerase_best.pth
16,0.3768824052095413,86.7875,0.46994250516791025,84.81,70.9,94.9,83.94999999999999,52.4931218624115,7.7176513671875,./models/resnet_01-batch32-randomerase_best.pth
17,0.34914466907382014,87.8225,0.5001994229543704,84.28,75.4,94.4,84.75,50.89546084403992,7.745147705078125,./models/resnet_01-batch32-randomerase_best.pth
18,0.33875659138858316,88.15,0.4869049127651051,84.45,65.5,92.8,86.75,51.384328842163086,7.288838624954224,./models/resnet_01-batch32-randomerase_best.pth
19,0.3176382084339857,88.6825,0.4765327921183333,85.25,68.5,94.2,86.65,51.28736591339111,7.0036845207214355,./models/resnet_01-batch32-randomerase_best.pth
20,0.3006450369119644,89.475,0.4911468472992317,84.75,60.5,92.3,86.9,52.220099687576294,7.813122749328613,./models/resnet_01-batch32-randomerase_best.pth
