Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.372387234544754,50.6175,1.086244968989025,62.09,39.7,85.8,61.150000000000006,66.82294964790344,7.974273920059204,./models/resnet_01-batch32-randomrotate_best.pth
2,1.00777269282341,64.715,0.8222133234952586,71.16,52.1,84.5,74.65,67.37865376472473,7.5712127685546875,./models/resnet_01-batch32-randomrotate_best.pth
3,0.8465158539772034,70.5875,0.7848505646514055,73.24,55.0,89.1,70.44999999999999,67.1395161151886,7.7700135707855225,./models/resnet_01-batch32-randomrotate_best.pth
4,0.7505389654994011,73.685,0.6417342583877972,78.22,60.8,88.4,81.44999999999999,70.62950992584229,7.554176330566406,./models/resnet_01-batch32-randomrotate_best.pth
5,0.6779258199930192,76.515,0.6043650973290681,79.1,64.3,93.9,81.15,67.52513313293457,8.372381687164307,./models/resnet_01-batch32-randomrotate_best.pth
6,0.6145199098110199,78.67,0.5792361895759075,80.19,63.5,93.0,81.6,66.89559626579285,7.960177659988403,./models/resnet_01-batch32-randomrotate_best.pth
7,0.5608517220020294,80.57,0.5990106150234183,80.27,68.3,95.8,80.55000000000001,67.44581508636475,7.115140199661255,./models/resnet_01-batch32-randomrotate_best.pth
8,0.5175627719938755,82.27,0.5382622068944259,81.75,64.9,90.5,83.7,66.90545320510864,7.312696695327759,./models/resnet_01-batch32-randomrotate_best.pth
9,0.4777972861647606,83.435,0.5645758129787236,81.19,58.0,93.3,83.8,67.25552773475647,8.455045938491821,./models/resnet_01-batch32-randomrotate_best.pth
10,0.44032775756120685,84.8475,0.5200788639337063,82.65,63.6,92.5,87.3,68.39072728157043,8.631895780563354,./models/resnet_01-batch32-randomrotate_best.pth
11,0.4085080809175968,85.5925,0.49717111634269073,83.85,67.7,95.0,86.65,68.0690336227417,8.290632486343384,./models/resnet_01-batch32-randomrotate_best.pth
12,0.3767094401240349,86.96,0.4954166782204621,83.92,62.6,94.9,84.1,69.85596537590027,7.910127878189087,./models/resnet_01-batch32-randomrotate_best.pth
13,0.35508393826186657,87.6,0.50265530946727,83.76,67.3,94.2,85.8,68.11695122718811,7.366437196731567,./models/resnet_01-batch32-randomrotate_best.pth
14,0.33090608838796615,88.375,0.4929637240912444,84.42,68.3,94.1,86.15,67.78846430778503,7.368080377578735,./models/resnet_01-batch32-randomrotate_best.pth
15,0.309537109836936,89.2175,0.5086017069815935,84.31,68.3,96.2,87.80000000000001,67.7024986743927,8.002557754516602,./models/resnet_01-batch32-randomrotate_best.pth
16,0.2832409325122833,90.155,0.5110483158516664,84.37,68.4,94.5,85.9,67.78094387054443,8.237342834472656,./models/resnet_01-batch32-randomrotate_best.pth
17,0.26470431510061027,90.81,0.520152479610272,84.33,65.3,93.8,87.5,67.12410926818848,7.931311845779419,./models/resnet_01-batch32-randomrotate_best.pth
18,0.2520801022946835,91.23,0.5242218593977535,84.17,73.7,93.5,85.65,67.89412760734558,7.2811455726623535,./models/resnet_01-batch32-randomrotate_best.pth
19,0.23926083766520023,91.7275,0.5306283658989274,84.65,68.2,94.4,84.9,67.87779450416565,7.724026679992676,./models/resnet_01-batch32-randomrotate_best.pth
20,0.22266541821062566,92.325,0.5366781318668847,84.8,75.6,92.8,87.4,67.85649180412292,8.30920147895813,./models/resnet_01-batch32-randomrotate_best.pth
