Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.4302450120449066,47.725,2.967477595806122,21.2,0.6,81.8,6.25,18.7684006690979,5.689402341842651,./models/resnet_01_best.pth
2,0.9541330873966217,65.77,1.3606630966067315,55.64,5.5,94.1,63.2,19.21451425552368,4.664087772369385,./models/resnet_01_best.pth
3,0.7232264667749405,74.0425,1.1711981534957885,61.69,28.6,88.2,63.55,19.085222005844116,4.279568433761597,./models/resnet_01_best.pth
4,0.5354768440127373,81.215,1.0758108884096145,65.45,33.6,92.3,69.6,18.939268589019775,5.340772390365601,./models/resnet_01_best.pth
5,0.4080041766166687,85.7875,1.4123646304011346,62.37,21.4,94.1,61.849999999999994,18.94605255126953,3.9825241565704346,./models/resnet_01_best.pth
6,0.31423551850020887,89.0775,1.1665669620037078,67.75,41.1,83.9,73.15,18.75640296936035,4.605888843536377,./models/resnet_01_best.pth
7,0.2674235329031944,90.49,1.1445680618286134,69.85,33.0,90.6,70.45,18.695847034454346,4.926963567733765,./models/resnet_01_best.pth
8,0.16163943912833928,94.3475,1.2935974180698395,69.7,41.9,89.6,69.69999999999999,19.222065210342407,5.577133655548096,./models/resnet_01_best.pth
9,0.13097713999450206,95.41,1.341932548582554,69.58,45.6,92.7,67.6,19.341134309768677,5.693691253662109,./models/resnet_01_best.pth
10,0.09937857706099748,96.6625,1.4278725206851959,68.86,46.9,82.6,71.65,19.16666269302368,5.23898983001709,./models/resnet_01_best.pth
11,0.14061563685536385,95.1825,1.2284062445163726,71.38,55.1,89.1,70.95,19.294920682907104,4.112717151641846,./models/resnet_01_best.pth
12,0.07312776679173112,97.5975,1.3474939048290253,70.77,43.9,87.9,77.9,18.930885314941406,5.644627571105957,./models/resnet_01_best.pth
13,0.13864892199635506,95.305,1.3178692251443862,69.7,41.1,86.6,71.55000000000001,18.785970211029053,5.139636993408203,./models/resnet_01_best.pth
14,0.08751400392502547,96.96,1.0878537952899934,73.95,57.9,87.1,78.05000000000001,18.895833253860474,4.431700944900513,./models/resnet_01_best.pth
15,0.03220909282099456,99.0175,1.2654452830553056,74.2,51.9,88.3,73.0,19.073983192443848,4.991805076599121,./models/resnet_01_best.pth
16,0.03840926608536392,98.7425,1.4132628440856934,72.86,44.9,89.2,74.0,18.985071897506714,5.013958692550659,./models/resnet_01_best.pth
17,0.046590540930628775,98.3825,1.3836416840553283,72.13,56.0,89.6,70.25,19.170879364013672,5.472266435623169,./models/resnet_01_best.pth
18,0.030430686683394013,99.075,1.5297896564006805,71.35,42.6,89.3,76.19999999999999,19.36521005630493,5.924081325531006,./models/resnet_01_best.pth
19,0.08601523372344673,97.195,1.330825012922287,71.49,57.9,84.7,73.25,19.476650714874268,4.863775730133057,./models/resnet_01_best.pth
20,0.04720068541355431,98.5175,1.318980473279953,73.63,58.8,89.5,74.19999999999999,19.450467586517334,6.4134674072265625,./models/resnet_01_best.pth
