Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Learning Rate,Model Filename
1,1.5065075520515443,45.2725,1.1780434412697254,58.07,24.4,87.3,50.5,91.96002721786499,8.38213038444519,0.001,./models/resnet_02-0.2_check.pth
2,1.1696911152362823,58.8,0.9277891440513416,67.16,44.1,84.9,66.05000000000001,93.67448258399963,8.511642217636108,0.001,./models/resnet_02-0.2_check.pth
3,1.0078832216978073,64.5225,0.7775026227529056,72.56,52.1,86.8,76.75,92.75746750831604,8.466399192810059,0.001,./models/resnet_02-0.2_check.pth
4,0.8834172816753387,69.115,0.7648161100908019,73.49,61.0,93.3,72.1,93.0290265083313,8.538583517074585,0.001,./models/resnet_02-0.2_check.pth
5,0.8083616526126861,71.9525,0.6817997148433051,76.48,50.4,93.2,77.65,93.14906406402588,8.90538239479065,0.001,./models/resnet_02-0.2_check.pth
6,0.7398584614753723,74.485,0.5863258575026791,79.72,60.6,90.6,82.5,92.42970514297485,8.210245132446289,0.001,./models/resnet_02-0.2_check.pth
7,0.6858995055556297,76.1725,0.6116115644562263,79.28,63.2,94.3,81.19999999999999,93.03275895118713,8.267420530319214,0.001,./models/resnet_02-0.2_check.pth
8,0.643281124663353,77.765,0.5635859528586221,80.81,63.9,92.8,83.55000000000001,92.91012454032898,8.628798723220825,0.001,./models/resnet_02-0.2_check.pth
9,0.6038045170903206,79.115,0.5035995648215754,82.88,67.8,92.6,83.85,93.64383316040039,8.405771732330322,0.001,./models/resnet_02-0.2_check.pth
10,0.5724163896203041,80.1725,0.5513042531752834,81.04,65.0,91.5,84.1,93.23419141769409,8.669982433319092,0.001,./models/resnet_02-0.2_check.pth
11,0.5434499073803425,81.1625,0.49491914167119483,82.92,61.1,93.7,86.25,91.89773631095886,8.518667697906494,0.001,./models/resnet_02-0.2_check.pth
12,0.5155423151731491,82.0775,0.48608863699181487,83.57,61.9,95.4,84.19999999999999,92.62921380996704,8.746062517166138,0.001,./models/resnet_02-0.2_check.pth
13,0.48712576352357867,83.145,0.47954559664185437,83.45,59.0,94.1,85.45,93.08572888374329,8.718327760696411,0.001,./models/resnet_02-0.2_check.pth
14,0.4604290106654167,83.99,0.5049308045460774,83.15,59.7,91.8,85.15,93.3283154964447,8.40226411819458,0.001,./models/resnet_02-0.2_check.pth
15,0.4403838893473148,84.6025,0.4749131728404056,83.92,71.7,91.4,85.94999999999999,93.02754187583923,8.611457109451294,0.001,./models/resnet_02-0.2_check.pth
16,0.41869919024407865,85.22,0.48549624026631016,84.21,73.2,94.4,84.35,92.95620536804199,8.445588827133179,0.001,./models/resnet_02-0.2_check.pth
17,0.40527213878035545,85.7875,0.46206585118195975,84.57,69.1,93.5,85.15,92.7226505279541,8.48472285270691,0.001,./models/resnet_02-0.2_check.pth
18,0.3759806330800056,86.92,0.4612415612916263,84.95,74.0,95.0,84.9,93.02068281173706,8.29941701889038,0.001,./models/resnet_02-0.2_check.pth
19,0.3589156996488571,87.485,0.4894011754530687,84.38,63.4,93.4,84.7,92.88982701301575,8.324490070343018,0.001,./models/resnet_02-0.2_check.pth
20,0.351164831879735,87.6975,0.4715060247688557,84.66,71.9,95.7,85.6,93.17374753952026,8.544970035552979,0.001,./models/resnet_02-0.2_check.pth
21,0.3336997626155615,88.2375,0.476690950773704,84.98,70.8,93.7,85.15,93.23977947235107,8.333271265029907,0.001,./models/resnet_02-0.2_check.pth
22,0.3230987294882536,88.6925,0.4505424132911316,85.53,72.4,94.6,86.55,92.88720536231995,8.94364857673645,0.001,./models/resnet_02-0.2_check.pth
23,0.31019109570682046,89.09,0.4651521557953935,85.57,72.5,94.3,88.80000000000001,93.32352471351624,8.644324779510498,0.001,./models/resnet_02-0.2_check.pth
24,0.29644908850193025,89.4775,0.47264958580973715,85.12,73.8,94.4,86.85,93.36975955963135,8.20402479171753,0.001,./models/resnet_02-0.2_check.pth
25,0.2823266406059265,90.125,0.5137365305158027,84.62,65.5,94.7,86.25,93.15112042427063,8.632113933563232,0.001,./models/resnet_02-0.2_check.pth
26,0.2781651046961546,90.2325,0.47602949892215357,85.74,73.8,93.3,87.25,93.25248622894287,8.451353073120117,0.001,./models/resnet_02-0.2_check.pth
27,0.26901151793897154,90.49,0.5191728727283558,84.58,69.6,93.1,85.6,93.86365747451782,8.584568977355957,0.001,./models/resnet_02-0.2_check.pth
28,0.2522791414782405,91.265,0.5183296241550542,84.69,70.5,93.1,87.2,93.5301251411438,8.446235418319702,0.001,./models/resnet_02-0.2_check.pth
29,0.19817144822627306,93.11,0.48109561000644163,86.48,71.8,93.8,87.4,94.32440781593323,8.70929741859436,0.0005,./models/resnet_02-0.2_check.pth
30,0.17825444057434797,93.7775,0.4965977616304645,86.48,74.5,94.5,88.15,93.37611436843872,8.43008828163147,0.0005,./models/resnet_02-0.2_check.pth
31,0.16752104973867535,94.115,0.507960280098881,86.5,72.8,95.1,87.0,93.27231216430664,8.401257753372192,0.0005,./models/resnet_02-0.2_check.pth
32,0.16360191974639893,94.2775,0.52355735494901,86.51,73.5,94.5,87.25,92.88878321647644,8.512588739395142,0.0005,./models/resnet_02-0.2_check.pth
33,0.14953191462289542,94.715,0.5137038886570893,86.62,70.3,94.5,88.5,92.94528770446777,8.635080575942993,0.0005,./models/resnet_02-0.2_check.pth
34,0.14819376060962677,94.8375,0.5261283093954052,86.22,67.4,95.3,86.69999999999999,94.24438667297363,8.504230976104736,0.0005,./models/resnet_02-0.2_check.pth
35,0.1263009794872254,95.655,0.5063219252035034,87.25,73.1,95.1,89.35,93.21580076217651,8.468056201934814,0.00025,./models/resnet_02-0.2_check.pth
36,0.11416955879628658,96.04,0.5165357789632451,87.34,75.3,94.6,88.75,93.6897222995758,8.37317943572998,0.00025,./models/resnet_02-0.2_check.pth
37,0.10806431233175098,96.3025,0.5177584669317309,87.19,73.1,94.7,89.30000000000001,92.8904025554657,8.439135313034058,0.00025,./models/resnet_02-0.2_check.pth
38,0.10512525223009288,96.425,0.5547447718859178,86.81,72.0,94.4,88.25,93.58963370323181,8.411193609237671,0.00025,./models/resnet_02-0.2_check.pth
39,0.0999392557695508,96.56,0.5394538574069686,87.34,74.9,94.5,87.94999999999999,93.31289100646973,8.576913118362427,0.00025,./models/resnet_02-0.2_check.pth
