Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.573515745997429,43.675,3.0036339938640593,21.42,0.2,81.5,3.5,16.122580766677856,4.577185392379761,./models/resnet_baseline_best.pth
2,1.1569205611944198,58.465,1.34995955824852,52.87,24.1,86.0,48.8,15.719121217727661,5.033382415771484,./models/resnet_baseline_best.pth
3,0.9448009252548217,65.8175,1.7670136749744416,43.97,27.1,83.1,39.25,15.339892625808716,3.7014756202697754,./models/resnet_baseline_best.pth
4,0.8026804313063621,71.3775,1.8931088328361512,42.52,18.9,89.0,36.05,15.293229579925537,4.456608772277832,./models/resnet_baseline_best.pth
5,0.7214346051216125,74.01,1.4511723577976228,54.55,30.2,92.0,48.150000000000006,15.242617130279541,5.627488136291504,./models/resnet_baseline_best.pth
6,0.5681127935647965,79.925,1.3029395937919617,60.13,33.9,81.5,65.65,15.399319171905518,3.940295696258545,./models/resnet_baseline_best.pth
7,0.4918984718620777,82.6375,1.4290193319320679,58.69,34.9,86.1,57.95,15.50918436050415,3.999417543411255,./models/resnet_baseline_best.pth
8,0.4411498583853245,84.33,1.204559850692749,64.08,48.6,85.1,64.1,15.62556266784668,5.003213405609131,./models/resnet_baseline_best.pth
9,0.3250566691160202,88.3125,1.3419098556041718,64.64,35.7,85.2,68.15,15.208150148391724,3.8677468299865723,./models/resnet_baseline_best.pth
10,0.25686217546463014,90.6225,1.59877610206604,59.98,45.2,81.6,60.599999999999994,15.341113805770874,4.168865919113159,./models/resnet_baseline_best.pth
11,0.22613988481462002,91.995,1.5761042773723601,62.61,37.0,80.4,66.65,15.58104920387268,4.877238750457764,./models/resnet_baseline_best.pth
12,0.25936279259622097,90.83,1.7837339758872985,59.31,31.5,81.4,60.65,15.454077005386353,3.833296775817871,./models/resnet_baseline_best.pth
13,0.1473171804100275,94.7925,1.673480999469757,62.88,34.7,86.6,65.1,15.264556884765625,4.104747533798218,./models/resnet_baseline_best.pth
14,0.13960584588348865,95.1975,1.7000781178474427,62.93,39.1,83.7,70.3,15.303805589675903,3.8256990909576416,./models/resnet_baseline_best.pth
15,0.17114276699721814,94.185,2.1591531157493593,58.26,21.0,85.8,65.25,15.739769697189331,4.57433009147644,./models/resnet_baseline_best.pth
16,0.20972162261605262,92.76,1.426180237531662,68.13,33.8,85.7,69.8,15.53818154335022,4.10032844543457,./models/resnet_baseline_best.pth
17,0.09698992017656564,96.7475,1.6802448689937592,65.28,35.1,88.1,62.8,15.29883074760437,4.437700271606445,./models/resnet_baseline_best.pth
18,0.10085272379219531,96.4875,1.605742061138153,67.03,37.9,87.9,75.15,15.646228551864624,4.7017223834991455,./models/resnet_baseline_best.pth
19,0.08047631857916712,97.335,1.6374161124229432,67.2,53.6,87.2,67.7,15.15137529373169,3.800493001937866,./models/resnet_baseline_best.pth
20,0.08558663027361035,97.17,2.072537249326706,63.01,32.0,90.3,64.2,15.653375387191772,4.436186075210571,./models/resnet_baseline_best.pth
