Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,2.224916619062424,17.99,2.3084145069122313,10.0,0.0,100.0,0.0,13.596227884292603,4.386486768722534,./models_efficientnet/base_efficientnet_best.pth
2,1.9481044292449952,27.5975,2.197307801246643,15.52,0.0,83.7,1.3,13.189802646636963,4.367505311965942,./models_efficientnet/base_efficientnet_best.pth
3,1.7497199803590775,35.5,1.6655028343200684,38.27,3.7,52.2,43.2,13.202712059020996,4.282206773757935,./models_efficientnet/base_efficientnet_best.pth
4,1.602148285508156,41.2175,1.56031973361969,42.27,16.9,57.6,45.3,13.466699600219727,3.963050365447998,./models_efficientnet/base_efficientnet_best.pth
5,1.4844370931386948,45.5075,1.5287610054016114,43.46,25.4,66.2,40.35,13.5278480052948,4.002528429031372,./models_efficientnet/base_efficientnet_best.pth
6,1.4110669404268266,48.71,1.4650349497795105,46.39,23.3,59.4,49.2,13.257483720779419,4.236125230789185,./models_efficientnet/base_efficientnet_best.pth
7,1.3337715893983841,51.335,1.4039778590202332,49.18,26.7,66.4,48.5,13.329078197479248,3.9599313735961914,./models_efficientnet/base_efficientnet_best.pth
8,1.2564275741577149,54.725,1.3938629388809205,49.56,29.1,66.9,51.3,13.416489124298096,4.613055944442749,./models_efficientnet/base_efficientnet_best.pth
9,1.2034789472818375,56.46,1.3907896399497985,50.49,33.6,69.1,54.55,13.280394792556763,4.1480207443237305,./models_efficientnet/base_efficientnet_best.pth
10,1.1456715375185014,58.7075,1.3901631593704225,51.33,32.9,72.3,47.65,13.06737995147705,4.222563743591309,./models_efficientnet/base_efficientnet_best.pth
11,1.0825154304504394,61.3725,1.3763998985290526,51.68,37.8,71.2,51.55,13.327932119369507,4.053492307662964,./models_efficientnet/base_efficientnet_best.pth
12,1.0354627892374992,63.3275,1.383434283733368,52.51,32.4,63.8,56.3,13.24801254272461,4.281584024429321,./models_efficientnet/base_efficientnet_best.pth
13,1.0174093529582025,63.725,1.364967131614685,52.94,40.1,77.1,51.5,13.06069302558899,4.028695344924927,./models_efficientnet/base_efficientnet_best.pth
14,0.9463028207421302,66.28,1.3622336268424988,53.73,39.3,72.2,53.900000000000006,13.375474452972412,4.02959132194519,./models_efficientnet/base_efficientnet_best.pth
15,0.8836386770009994,68.53,1.4221938788890838,53.69,31.8,70.9,58.75,13.613508462905884,3.938667058944702,./models_efficientnet/base_efficientnet_best.pth
16,0.8270311743021012,70.2875,1.4517424702644348,53.16,39.7,64.6,51.65,13.410534620285034,4.1418538093566895,./models_efficientnet/base_efficientnet_best.pth
17,0.7860383316874504,72.1575,1.4233744144439697,54.68,36.2,69.2,59.05,13.47337818145752,4.107056379318237,./models_efficientnet/base_efficientnet_best.pth
18,0.7824674472212791,72.1925,1.446717345714569,53.87,36.7,65.4,56.2,13.484443664550781,4.4616382122039795,./models_efficientnet/base_efficientnet_best.pth
19,0.7367186427116394,73.89,1.4405455231666564,54.85,37.3,66.8,54.4,13.20618748664856,4.096567153930664,./models_efficientnet/base_efficientnet_best.pth
20,0.6591334119439125,77.025,1.5579908967018128,53.58,30.5,68.3,54.099999999999994,13.34522533416748,4.283299922943115,./models_efficientnet/base_efficientnet_best.pth
