Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.7238718644498636,36.0775,1.3613006163247023,49.83,21.5,69.7,51.150000000000006,26.347055673599243,4.960238456726074,./models_efficientnet/efficientnet_01128_best.pth
2,1.2191053602261284,56.39,1.144468968427634,59.96,32.9,85.3,64.94999999999999,26.278677940368652,5.054393291473389,./models_efficientnet/efficientnet_01128_best.pth
3,0.9713703662442704,65.645,0.9125277384927001,67.81,50.0,86.1,68.4,26.278277158737183,4.9562296867370605,./models_efficientnet/efficientnet_01128_best.pth
4,0.8068834267104396,71.6675,0.8418165694309186,70.41,49.4,84.7,70.55000000000001,26.27607274055481,5.22475266456604,./models_efficientnet/efficientnet_01128_best.pth
5,0.6825311513373646,76.3,0.7871766743026202,72.94,57.5,91.6,72.05,26.407397747039795,5.614020824432373,./models_efficientnet/efficientnet_01128_best.pth
6,0.5983304040500531,78.9175,0.7263138199908824,75.12,60.1,86.0,79.1,26.427613019943237,5.026749134063721,./models_efficientnet/efficientnet_01128_best.pth
7,0.5315634913909169,81.4625,0.7363972829867013,74.66,52.9,91.9,74.35,26.5535409450531,4.999959945678711,./models_efficientnet/efficientnet_01128_best.pth
8,0.4910444386850912,83.0275,0.7294726043562346,75.22,55.2,89.3,78.85,26.518123626708984,4.974303483963013,./models_efficientnet/efficientnet_01128_best.pth
9,0.45126525643534554,84.235,0.6997261143560651,76.53,62.5,90.1,78.19999999999999,26.483931303024292,5.0369367599487305,./models_efficientnet/efficientnet_01128_best.pth
10,0.3432248886020039,88.07,0.7090921666048751,77.13,62.6,91.0,76.0,26.43725347518921,5.103437900543213,./models_efficientnet/efficientnet_01128_best.pth
11,0.3148825760371388,89.18,0.7336874764554108,77.46,66.1,88.7,78.7,26.38934874534607,5.036025285720825,./models_efficientnet/efficientnet_01128_best.pth
12,0.3490702753392652,87.7075,0.7180368168444573,77.29,56.0,91.2,79.6,26.4987735748291,5.023210287094116,./models_efficientnet/efficientnet_01128_best.pth
13,0.26404531638081463,90.655,0.7725618321307098,77.21,60.3,89.6,77.25,26.491610288619995,5.202694416046143,./models_efficientnet/efficientnet_01128_best.pth
14,0.25184276126348937,91.2275,0.7443206141455264,77.51,60.1,89.7,79.3,26.64461660385132,5.957496643066406,./models_efficientnet/efficientnet_01128_best.pth
15,0.25896833965572685,91.07,0.7841881558864932,76.27,57.5,89.8,77.19999999999999,26.911731004714966,5.105896234512329,./models_efficientnet/efficientnet_01128_best.pth
16,0.22821027149978917,92.105,0.767889192775835,77.09,61.3,90.0,77.5,26.250669717788696,5.605098724365234,./models_efficientnet/efficientnet_01128_best.pth
17,0.15847738368061784,94.5325,0.8322335782496235,78.28,56.4,90.7,80.19999999999999,26.27034592628479,5.035244464874268,./models_efficientnet/efficientnet_01128_best.pth
18,0.1653507757372559,94.3675,0.8262775491310071,78.27,56.0,92.0,80.75,26.02018666267395,5.037797689437866,./models_efficientnet/efficientnet_01128_best.pth
19,0.1306268049005312,95.6325,0.8616138594814494,78.14,57.7,89.8,79.05,26.0588641166687,5.042104005813599,./models_efficientnet/efficientnet_01128_best.pth
20,0.11285499802317482,96.145,0.8968516018571733,78.4,57.6,92.0,82.25,26.17264747619629,4.8979527950286865,./models_efficientnet/efficientnet_01128_best.pth
