Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.9337519563674928,26.7225,1.5346025696958596,42.06,3.1,78.8,45.599999999999994,115.38984394073486,10.173812866210938,./models_efficientnet/efficientnet_01_colorjitter_32_best.pth
2,1.5694260274887084,42.5325,1.4195538843020845,49.77,35.1,76.4,46.3,110.96785235404968,9.003929376602173,./models_efficientnet/efficientnet_01_colorjitter_32_best.pth
3,1.4014339013576507,49.5575,1.1648248037019857,58.83,30.1,78.1,61.7,103.96900296211243,9.408289194107056,./models_efficientnet/efficientnet_01_colorjitter_32_best.pth
4,1.282994773054123,53.8825,1.0352258585607663,62.51,33.9,84.3,64.85,102.98878979682922,9.095930337905884,./models_efficientnet/efficientnet_01_colorjitter_32_best.pth
5,1.1797668297767638,58.0775,0.9770902270516648,65.17,44.9,85.9,62.349999999999994,106.38705253601074,10.030839920043945,./models_efficientnet/efficientnet_01_colorjitter_32_best.pth
6,1.0898866652965546,61.4375,0.8751850116748018,69.37,41.1,84.5,75.94999999999999,112.35470628738403,9.886142492294312,./models_efficientnet/efficientnet_01_colorjitter_32_best.pth
7,1.03157590508461,63.735,0.8155080236185092,71.17,54.9,91.3,68.8,111.16510057449341,9.168805599212646,./models_efficientnet/efficientnet_01_colorjitter_32_best.pth
8,0.9621696662187577,66.4925,0.7742421031474306,73.21,56.2,92.7,74.2,102.84120535850525,9.049226760864258,./models_efficientnet/efficientnet_01_colorjitter_32_best.pth
9,0.9714527273416519,66.325,0.7299006478950238,74.78,53.1,89.3,78.15,103.68841528892517,9.188471555709839,./models_efficientnet/efficientnet_01_colorjitter_32_best.pth
10,0.9337670207738876,67.565,0.7361293061139484,73.88,58.1,89.1,76.55,103.43531680107117,9.239061117172241,./models_efficientnet/efficientnet_01_colorjitter_32_best.pth
11,0.8756142651557922,69.3975,0.7170819828685481,74.84,57.1,92.6,75.95,102.85036659240723,9.05506181716919,./models_efficientnet/efficientnet_01_colorjitter_32_best.pth
12,0.8892940167665482,69.155,0.6869089423705594,75.6,54.8,93.0,78.7,103.53791856765747,8.92731523513794,./models_efficientnet/efficientnet_01_colorjitter_32_best.pth
13,0.8395731109142304,70.935,0.664073357757288,77.13,59.1,92.1,77.45,104.33728218078613,9.036786556243896,./models_efficientnet/efficientnet_01_colorjitter_32_best.pth
14,0.799290220618248,72.3075,0.6731977242821703,76.69,53.6,90.5,75.95,103.21623086929321,8.675441265106201,./models_efficientnet/efficientnet_01_colorjitter_32_best.pth
