Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.7197730513095855,36.85,1.3233684181405332,52.44,21.3,78.8,51.85,72.40028548240662,9.847330093383789,./models_efficientnet/efficientnet_01_normalize_32_best.pth
2,1.3515924511432649,51.1325,1.182780327221837,57.03,12.6,80.0,60.95,72.2210865020752,9.835702657699585,./models_efficientnet/efficientnet_01_normalize_32_best.pth
3,1.1335781100749969,59.645,1.0322718869763823,64.26,46.2,83.2,64.05000000000001,72.36157035827637,10.107511043548584,./models_efficientnet/efficientnet_01_normalize_32_best.pth
4,0.9448265722036362,67.325,0.9048155004890582,69.04,39.8,85.1,69.2,72.20903468132019,9.76345157623291,./models_efficientnet/efficientnet_01_normalize_32_best.pth
5,0.8356189847707748,71.0125,0.7381503104020993,74.23,57.0,89.6,75.95,72.4427227973938,9.888195276260376,./models_efficientnet/efficientnet_01_normalize_32_best.pth
6,0.6974673395991325,75.7475,0.7017841305309972,76.18,58.5,89.9,75.75,72.23079180717468,9.67249846458435,./models_efficientnet/efficientnet_01_normalize_32_best.pth
7,0.6217623003959656,78.7275,0.6818962192859132,76.69,45.6,92.6,82.25,72.18985199928284,10.275086641311646,./models_efficientnet/efficientnet_01_normalize_32_best.pth
8,0.5390937216162681,81.57,0.6359353524784501,78.57,61.3,89.1,81.75,71.93231630325317,9.832343816757202,./models_efficientnet/efficientnet_01_normalize_32_best.pth
9,0.4699157444238663,83.58,0.601057191983389,79.36,65.3,92.7,82.44999999999999,72.00436472892761,9.796249389648438,./models_efficientnet/efficientnet_01_normalize_32_best.pth
10,0.4116790276765823,85.72,0.644180844981259,78.5,65.4,89.3,79.19999999999999,72.10307955741882,9.63147783279419,./models_efficientnet/efficientnet_01_normalize_32_best.pth
11,0.3655171699911356,87.52,0.6027261436925814,80.07,61.2,89.8,82.6,71.84874081611633,10.011857748031616,./models_efficientnet/efficientnet_01_normalize_32_best.pth
12,0.3142428026974201,89.2025,0.6386699571955604,79.46,53.9,93.1,78.35,71.86163401603699,10.073710680007935,./models_efficientnet/efficientnet_01_normalize_32_best.pth
13,0.27713634785413743,90.4025,0.6676919761206062,79.58,62.8,91.4,82.05000000000001,71.64522051811218,9.815276861190796,./models_efficientnet/efficientnet_01_normalize_32_best.pth
14,0.2460347571477294,91.4425,0.7000294456454798,79.71,58.4,93.0,81.05,71.69725775718689,9.8133225440979,./models_efficientnet/efficientnet_01_normalize_32_best.pth
15,0.2244623945504427,92.2425,0.7187790851147411,79.79,64.0,90.3,81.5,71.84384369850159,10.088384866714478,./models_efficientnet/efficientnet_01_normalize_32_best.pth
16,0.2070491613686085,92.755,0.7519060475550914,79.72,62.2,93.8,81.35,71.72706842422485,9.798123836517334,./models_efficientnet/efficientnet_01_normalize_32_best.pth
17,0.18073939675614237,93.68,0.7685635217164938,79.91,65.8,92.5,83.65,71.6520414352417,9.889128923416138,./models_efficientnet/efficientnet_01_normalize_32_best.pth
18,0.16090506936833263,94.45,0.7417399575130437,80.5,65.0,92.4,82.4,71.93609094619751,9.84959363937378,./models_efficientnet/efficientnet_01_normalize_32_best.pth
19,0.154083147556521,94.6375,0.7622511930118044,80.08,63.0,92.9,80.6,72.29503798484802,10.005300045013428,./models_efficientnet/efficientnet_01_normalize_32_best.pth
20,0.14166530669294297,95.1575,0.7957704252661607,80.32,59.2,90.4,83.25,72.05260014533997,10.50231146812439,./models_efficientnet/efficientnet_01_normalize_32_best.pth
