Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,2.1671772503852846,17.5375,1.7751560641553836,33.29,0.4,59.1,35.85,116.12576222419739,9.783039093017578,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
2,1.8692860436439513,29.675,1.5825344175576401,41.59,19.3,64.9,43.65,114.47347974777222,9.703956365585327,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
3,1.7085667748451232,37.345,1.4488525392529301,47.32,11.9,75.2,52.55,115.23556995391846,9.640877962112427,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
4,1.5975442544937133,41.6875,1.3411749184322053,51.29,20.9,67.9,53.6,115.00153183937073,9.987354516983032,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
5,1.4948032145023347,46.1,1.2453895450209658,55.8,31.8,80.5,59.45,115.3888897895813,9.523884296417236,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
6,1.4049422993659972,49.5525,1.1735664555630363,57.9,39.6,77.9,57.85,114.0478744506836,9.794452667236328,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
7,1.325511262845993,52.64,1.1096300204721883,60.74,43.8,83.0,61.35,114.9305956363678,9.493229150772095,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
8,1.2519570669174194,55.4225,1.0590397229971595,62.57,28.9,73.6,66.7,114.74970054626465,9.465602159500122,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
9,1.193642974281311,57.7725,0.9932637856410335,64.77,41.2,80.0,66.1,118.04615950584412,9.725095272064209,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
10,1.127015579891205,60.245,0.9413434757401768,66.85,47.3,79.5,67.25,117.51962947845459,9.563782215118408,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
11,1.0836235237121583,61.86,0.9206997379898644,67.45,44.2,83.6,67.5,115.76579523086548,9.477134943008423,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
12,1.0439127069950105,63.24,0.8674059732558247,69.42,48.9,87.7,67.35,115.65006303787231,9.698349952697754,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
13,1.0036598982810974,64.69,0.8372042279083508,70.77,50.7,85.3,73.19999999999999,115.11189365386963,10.27829885482788,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
14,0.9642916528224945,66.4575,0.8082723530907981,71.62,56.2,84.9,72.94999999999999,115.14045023918152,9.722944021224976,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
15,0.9295206859827042,67.345,0.7874546218603945,71.95,51.0,85.6,73.44999999999999,115.01993227005005,9.628239870071411,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
16,0.9001743438482285,68.665,0.7552589985509269,73.67,57.4,85.8,75.9,115.1474301815033,9.512396812438965,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
17,0.8660663112163544,69.5275,0.736713637749608,74.57,59.9,87.8,78.2,115.5676519870758,9.566671133041382,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
18,0.8415130240917206,70.86,0.7138142474352742,75.0,56.8,86.8,78.35,114.32644081115723,9.53752875328064,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
19,0.8073782838344574,71.775,0.7235826585477534,74.52,52.3,87.0,78.6,114.64882278442383,9.709615230560303,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
20,0.7999932436466217,71.8175,0.699648031459068,75.82,52.9,90.1,75.85,115.55315017700195,9.724061250686646,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
21,0.765433237862587,73.11,0.6927030820625658,75.62,51.8,91.1,77.55,115.07128524780273,9.466777086257935,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
22,0.7454894904136657,73.9375,0.6635123919993163,76.78,58.3,89.0,80.05000000000001,114.56068992614746,9.717489957809448,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
23,0.724804229593277,74.4675,0.6607090172628625,77.02,60.8,89.1,78.44999999999999,115.61111569404602,10.127644538879395,./models_efficientnet/efficientnet_01_randomerase_0.0001_best.pth
