Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.8537787679672242,30.8875,1.7259446169240786,41.55,23.5,68.3,39.9,80.28661751747131,9.512773752212524,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
2,1.5221213623523713,44.83,1.4941666533771796,50.83,27.4,69.5,52.95,80.00075078010559,9.081701040267944,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
3,1.3934361310958863,49.7125,1.4333671818906888,51.65,21.0,78.0,51.95,80.00238561630249,9.088116884231567,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
4,1.2908467346668244,53.895,1.0689297336549424,61.79,44.6,85.8,64.55000000000001,79.80259895324707,9.093090295791626,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
5,1.1586066480636596,59.015,0.9659729676600843,65.85,47.5,82.1,69.2,80.30625247955322,9.153679847717285,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
6,1.051154320383072,62.94,0.9574377408233313,67.27,46.0,89.4,67.75,79.88419890403748,9.015837907791138,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
7,0.9945796842575073,65.115,0.8988000782438741,68.92,41.5,82.6,70.95,79.38740634918213,9.164112329483032,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
8,0.9501665928602219,66.8325,0.7970192153423358,71.94,45.8,86.0,73.25,79.60702180862427,9.010714292526245,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
9,0.9325411565065383,67.1675,0.7789905918434786,72.28,49.3,89.5,70.75,79.5465202331543,9.195346355438232,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
10,0.8970127878427505,68.6775,0.7319758475874178,74.08,54.1,87.8,78.35,79.40918517112732,9.033886909484863,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
11,0.8120278629779816,71.595,0.6869773428184918,75.61,59.2,91.7,77.5,79.75444722175598,9.177912950515747,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
12,0.7854427860975266,72.7625,0.7133883917555451,75.33,61.1,89.6,77.1,80.1060962677002,9.093429327011108,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
13,0.7664875263690949,73.3,0.7247747635355772,74.86,56.2,90.3,78.6,79.92391920089722,9.080957412719727,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
14,0.7623267236232758,73.545,0.6160522416448251,78.64,59.0,91.2,81.5,80.05491709709167,9.039389610290527,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
15,0.7187002310037612,74.8325,0.594646515509191,79.39,60.7,90.8,81.65,79.62291359901428,9.026996850967407,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
16,0.6718329852819442,76.73,0.5872540382293466,79.85,62.9,90.7,82.8,79.5588207244873,9.019540548324585,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
17,0.648781353187561,77.4125,0.5561012417649309,80.86,64.5,91.8,84.85,79.62260937690735,9.046026706695557,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
18,0.6330717815756798,78.0425,0.5527063158932871,80.99,63.6,91.5,84.15,80.410977602005,9.317625522613525,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
19,0.5959975637793541,79.3375,0.5159083996741726,82.33,64.5,91.8,84.2,80.31150507926941,9.034523010253906,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
20,0.60088920327425,78.955,0.7094688286986975,75.49,57.7,89.1,77.15,80.03051257133484,9.03335189819336,./models_efficientnet/efficientnet_01_randomerase_32_best.pth
