Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.706140073108673,36.4225,1.3879281265286212,50.44,13.6,71.6,56.05,70.47432255744934,8.904045343399048,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
2,1.2593418012619018,55.165,1.0295722609796463,63.05,39.7,83.3,64.6,70.44059014320374,8.752665281295776,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
3,1.088452838087082,61.55,1.1184432647003533,64.28,41.4,84.7,64.35,69.96995449066162,9.103960275650024,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
4,1.0032480726242066,64.8225,0.8644043061965571,70.69,53.4,85.6,73.25,70.01629590988159,8.80754280090332,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
5,0.8454735290050507,70.84,0.7978021867168598,72.74,51.9,89.4,75.3,70.31795358657837,8.842008113861084,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
6,0.7861328433275223,73.0,0.7750885458038257,73.04,53.3,89.3,73.65,69.97455644607544,9.13599157333374,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
7,0.7306155109882355,74.7625,0.7034722468533074,75.58,49.9,90.6,80.8,70.13263320922852,8.905575275421143,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
8,0.6653972209215164,76.94,0.6993486602513935,75.79,53.3,89.4,78.2,70.1620180606842,8.853238344192505,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
9,0.6193499736666679,78.8075,0.6583170435679987,76.88,57.7,90.9,79.0,69.83973455429077,9.129580736160278,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
10,0.5933499127149582,79.6675,0.6071225044826349,79.35,64.8,93.3,80.6,69.83194637298584,8.985816717147827,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
11,0.5340542620301246,81.6,0.6405522506981612,77.99,59.7,91.2,80.75,70.06072616577148,8.83657169342041,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
12,0.5560248128890991,81.0125,0.6266749938503622,78.31,60.2,89.0,80.75,69.93879556655884,9.030264377593994,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
13,0.4804773195922375,83.265,0.5728372987895347,80.2,66.4,90.8,83.45,70.04264187812805,8.866469621658325,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
14,0.473752663397789,83.7275,0.6336407537360828,78.38,56.4,90.8,80.1,70.60379123687744,8.938596248626709,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
15,0.44456399074792863,84.62,0.536204852128086,81.65,58.5,91.6,86.0,70.30445337295532,9.099563837051392,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
16,0.4356346318125725,85.035,0.5316668261592381,81.51,64.6,90.1,84.4,69.84482789039612,8.850686311721802,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
17,0.37750560292601587,87.0825,0.5583625571867719,81.1,65.0,93.5,83.1,70.2132682800293,8.834501266479492,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
18,0.3567521826446056,87.6825,0.5423265450155011,82.15,61.3,92.9,85.95,70.4629635810852,9.35835075378418,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
19,0.3358000866740942,88.55,0.5140057075381897,83.03,70.6,95.2,84.1,70.52199816703796,8.860204219818115,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
20,0.30365195766091346,89.5125,0.533296641459266,82.35,64.7,94.3,84.85,70.52947616577148,8.742364168167114,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
21,0.29134073627889157,89.85,0.5478306314461647,82.17,69.4,93.7,84.3,71.46768808364868,9.121073007583618,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
22,0.28832859431505203,90.055,0.5385295317654079,82.92,69.2,92.6,84.7,70.88024258613586,9.021461963653564,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
23,0.28030797113776207,90.3075,0.5480170332999251,82.57,69.6,93.4,85.4,74.32714343070984,9.098284721374512,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
24,0.24723256270587443,91.37,0.5311398585237705,83.36,70.8,94.1,86.4,74.15499067306519,8.999003171920776,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
25,0.24843908662497996,91.425,0.5585110181817612,83.21,62.4,92.5,86.95,77.6171464920044,9.251591205596924,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
26,0.21771046583801507,92.5575,0.5647736254502267,83.0,66.7,93.6,83.35,74.24941158294678,9.134507656097412,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
27,0.2042427191749215,92.7625,0.5636471509978104,83.53,68.1,94.2,85.15,75.44801211357117,10.585066795349121,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
28,0.19783985461220147,93.245,0.5515817929916202,83.11,67.1,95.3,82.9,74.2311224937439,9.063345670700073,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
29,0.1858528144031763,93.6575,0.6020249777470534,83.09,66.2,95.5,82.35,71.09309887886047,9.372054100036621,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
30,0.18307266131043434,93.6025,0.5680364528700662,84.06,67.9,93.5,88.05,71.00446391105652,8.991550922393799,./models_efficientnet/efficientnet_01_randomflip_32_best.pth
