Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.7629198173522949,35.075,1.4426398970448553,48.02,21.5,74.3,48.35,74.35115337371826,8.870272397994995,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
2,1.4428616370677947,47.6075,1.3178904724006835,56.41,34.1,78.7,55.2,73.56627154350281,9.048014879226685,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
3,1.28513464345932,53.96,1.1359288233537643,60.5,28.6,75.3,68.05,73.71630001068115,9.209185600280762,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
4,1.2179615027904511,56.94,1.0296429072896514,64.02,34.9,83.8,71.6,73.77446007728577,8.84726357460022,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
5,1.238956557416916,56.3925,0.9975690588402671,65.36,48.0,81.6,65.55,73.8319034576416,8.79560661315918,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
6,1.1397369359493255,59.875,0.9679555648717636,66.73,46.8,84.0,68.75,74.03856706619263,8.867351055145264,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
7,1.0390585120439528,63.445,0.9119026041545045,68.58,43.8,85.9,75.75,73.79605436325073,8.949495315551758,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
8,0.948046635723114,67.1275,0.7840214214100244,72.69,54.9,85.1,76.8,74.23037481307983,9.26372504234314,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
9,0.8850356334447861,69.31,0.7893396619433602,72.42,51.8,87.3,72.85,73.98126816749573,8.805238485336304,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
10,0.816708803653717,71.65,0.745059206748542,74.35,52.0,85.6,78.75,74.11589360237122,8.970417499542236,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
11,0.8186823915958404,71.5325,0.8885027961894727,69.92,50.9,84.0,74.6,73.9727303981781,8.870882749557495,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
12,0.7704500139713287,73.305,0.6566194967625621,77.13,54.1,90.5,78.5,73.85085725784302,9.023001909255981,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
13,0.7027914639234543,75.5125,0.6211622873910319,78.19,60.0,89.6,83.75,73.8547260761261,9.259652614593506,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
14,0.6790907002925873,76.285,0.6132901586330356,78.83,63.7,92.5,80.30000000000001,73.51242089271545,8.887747764587402,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
15,0.659762478876114,77.0325,0.6107214490255228,78.58,56.3,89.8,80.55,73.49192070960999,8.816134929656982,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
16,0.6265554484963417,78.27,0.5829915803509017,80.15,61.5,91.5,84.65,73.67135000228882,8.796663284301758,./models_efficientnet/efficientnet_01_randomrotate_32_best.pth
