Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Learning Rate,Model Filename
1,1.9633175710678101,26.44,1.5934624879504926,41.42,13.7,69.1,34.55,111.20397210121155,9.580089330673218,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
2,1.57285690908432,42.4525,1.3112562066449907,53.12,28.5,75.9,58.15,111.9345269203186,10.08768606185913,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
3,1.366721741962433,50.8,1.1243210100708678,59.88,14.7,82.0,67.55,111.14114308357239,9.524710655212402,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
4,1.1951681196689605,57.66,0.945730248055519,66.51,36.0,84.2,68.6,112.54608225822449,9.540858745574951,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
5,1.0861772887706758,62.0625,0.9276204525757903,67.37,47.4,84.1,70.44999999999999,112.21398496627808,9.655239343643188,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
6,0.9904886321783066,65.3775,0.7793049758758408,72.43,53.8,88.5,77.25,108.9545316696167,9.175446033477783,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
7,0.9267703330755234,68.025,0.7241221192164924,74.86,55.4,89.1,79.95,104.13874340057373,9.337566137313843,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
8,0.8747718466043473,69.4525,0.7062294223247626,75.31,51.4,89.8,77.55000000000001,110.83664560317993,10.360367059707642,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
9,0.8228438657522201,71.37,0.66147357193283,76.21,52.1,93.6,77.6,112.44820427894592,10.284295797348022,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
10,0.7897432275772095,72.61,0.6485404253315431,77.49,55.1,91.9,79.05000000000001,112.51558208465576,10.06342363357544,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
11,0.7580215772628784,73.78,0.6390900644964684,77.94,61.6,92.9,79.25,111.1326150894165,10.181561708450317,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
12,0.7218779989480972,74.9725,0.6265685482742116,78.27,50.1,94.2,80.0,111.1435387134552,10.164790630340576,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
13,0.6881905377745628,76.1725,0.5761397180323022,79.93,63.6,92.3,81.25,107.34459948539734,9.363285064697266,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
14,0.6680488169312477,76.6625,0.5561145000731031,80.6,63.0,91.6,83.35,106.03591728210449,9.27699899673462,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
15,0.6497772871375084,77.495,0.5319512837920517,81.23,63.4,90.6,83.25,107.07738661766052,9.759190082550049,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
16,0.6212144943833351,78.6475,0.5154301239707219,82.11,66.4,92.7,82.5,109.13523173332214,9.477250099182129,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
17,0.6095191657185555,79.0125,0.5043165677795395,82.38,65.0,91.5,86.44999999999999,106.1826159954071,9.4495689868927,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
18,0.5830693379282952,79.9525,0.5255346267867964,81.69,62.4,93.3,81.30000000000001,108.23040056228638,9.306976079940796,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
19,0.565402992451191,80.4775,0.49646765816087923,82.92,65.2,93.1,85.8,111.24829626083374,10.019575595855713,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
20,0.5424007033467293,81.24,0.49802126369465843,82.62,65.3,94.2,82.15,111.53423023223877,9.875043869018555,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
21,0.5330250050663948,81.6575,0.49188714637495456,83.11,67.2,94.3,84.6,110.74047136306763,10.22353744506836,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
22,0.5277304606199265,81.615,0.46249720250693754,84.27,69.0,94.2,86.7,111.7469494342804,10.23065185546875,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
23,0.4971802065372467,82.795,0.4649262016359419,83.99,69.6,94.0,85.15,112.74159693717957,10.329277038574219,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
24,0.4841642102241516,83.0525,0.47488021822616505,83.71,70.8,94.2,86.1,111.11186814308167,10.163393497467041,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
25,0.47650274254083635,83.71,0.4793622227379689,83.88,72.1,93.2,83.75,111.48741579055786,10.415259838104248,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
26,0.4659241676867008,83.62,0.46199163491019424,84.16,64.9,91.8,88.69999999999999,111.56286311149597,10.603443622589111,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
27,0.4554303505420685,84.1775,0.4665398358563765,84.34,72.8,95.5,85.6,112.96389722824097,10.456915140151978,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
28,0.44240933735370636,84.7025,0.44917239078555626,84.83,68.7,94.1,88.0,111.37161469459534,10.469334840774536,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
29,0.4409507965445518,84.62,0.46441592028537115,84.21,67.5,94.8,85.30000000000001,111.16483664512634,9.968735456466675,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
30,0.42527778025865554,84.9275,0.4531278060511135,84.96,70.7,95.1,86.30000000000001,110.95011377334595,10.078258514404297,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
31,0.42175402252674105,85.3225,0.44327380371312747,85.39,71.6,93.7,84.5,111.15629076957703,10.060895681381226,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
32,0.4052513062566519,85.9325,0.4522968028990415,84.63,72.9,94.0,84.3,110.47961831092834,10.162224054336548,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
33,0.4000116454362869,86.1075,0.44781639227961983,85.52,64.9,94.4,86.95,111.43704724311829,10.343432426452637,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
34,0.3886105431973934,86.5375,0.45722838512401637,84.79,69.7,94.1,84.55000000000001,111.2012128829956,10.402769088745117,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
35,0.38229999292194844,86.6725,0.4375009799447541,85.32,73.2,95.1,85.3,111.21713542938232,10.314115047454834,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
36,0.3698026234537363,87.07,0.5146057769989434,84.09,70.7,94.0,86.0,112.80931448936462,10.27194094657898,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
37,0.364344462543726,87.2125,0.4375055912769022,85.21,67.1,95.3,85.55,112.10715508460999,10.119154691696167,0.0005,./models_efficientnet/efficientnet_01_reducelr_0.0005_best.pth
