Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Learning Rate,Model Filename
1,1.9345874069213866,27.765,1.5450000492528604,42.44,2.5,74.1,42.7,116.17388129234314,10.07200574874878,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
2,1.5504998147010802,43.225,1.3251926422880862,53.47,27.7,78.4,57.8,116.04755282402039,9.913920164108276,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
3,1.3719463290214537,50.535,1.1041400332134752,60.96,38.7,84.2,65.1,115.87541222572327,9.647384643554688,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
4,1.233867756652832,56.0425,1.051785949224862,63.26,37.4,85.2,64.3,116.03462314605713,9.604190587997437,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
5,1.1570025424957275,58.96,0.9783025699587294,65.48,47.8,85.3,62.7,115.73253536224365,9.504002332687378,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
6,1.0582177716732024,62.535,0.9390234123594083,68.51,40.6,86.8,72.9,116.40616798400879,9.645896434783936,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
7,1.0134285169124604,64.66,0.7787721753834536,72.48,53.9,87.8,76.65,115.68212747573853,9.638955354690552,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
8,0.9399603706121444,67.0825,0.7381166946916534,74.26,55.3,88.2,75.30000000000001,115.99892377853394,9.8116614818573,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
9,0.9080863172292709,68.305,0.7410242347100291,73.9,47.2,89.8,75.75,116.2687087059021,10.21375322341919,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
10,0.8920844420194626,69.0075,0.7268914947756373,74.94,49.5,92.1,77.35,115.9382677078247,9.923678398132324,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
11,0.8200435864448548,71.4025,0.6919261524662043,76.11,61.6,92.1,77.05,116.0402467250824,9.835307121276855,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
12,0.7983560083627701,72.225,0.6291248363951525,78.18,62.3,91.3,78.15,115.19705939292908,9.806895971298218,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
13,0.7500632049560547,74.1525,0.6334388116463876,78.12,57.6,88.2,82.05,115.86019325256348,9.666078567504883,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
14,0.71739346306324,75.1575,0.5875357401947053,79.66,56.9,91.7,78.7,116.64000034332275,9.554653882980347,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
15,0.7015966427326202,75.715,0.5681686565137138,80.26,65.0,90.9,80.19999999999999,116.1851077079773,9.882396697998047,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
16,0.6725375964879989,76.6475,0.5543378655807659,80.63,66.3,90.9,84.5,116.00679802894592,9.851443529129028,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
17,0.6645660780668259,76.68,0.5456334495911012,81.02,56.5,92.1,83.2,116.5642602443695,9.939280986785889,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
18,0.6439921714305877,77.5425,0.7575210414398402,79.21,63.5,90.3,81.35,117.29102325439453,10.018375873565674,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
19,0.6232561621427536,78.375,0.5435663853733304,80.77,67.9,89.6,82.69999999999999,116.60117721557617,10.03196382522583,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
20,0.6062105546116829,78.9375,0.5469150168005936,80.75,63.9,95.0,82.15,116.6131579875946,9.619140148162842,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
21,0.6061438075423241,79.2275,0.5218350339811831,81.56,56.9,91.1,83.7,115.71849322319031,9.727237462997437,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
22,0.5681563931107521,80.1625,0.5155963141816302,82.22,68.0,93.4,82.25,116.16613245010376,9.802856206893921,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
23,0.5531641968011856,80.7725,0.493093344504936,83.17,64.1,92.6,85.05,115.96148943901062,9.757776260375977,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
24,0.5402871223211289,81.29,0.5434310206185324,81.2,66.5,92.4,82.30000000000001,115.59263134002686,9.757535696029663,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
25,0.5241317504167556,81.6875,0.4821297509607654,83.34,65.1,93.5,83.4,115.85552453994751,9.825927257537842,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
26,0.5144292842924595,81.955,0.5077198920087121,82.9,69.9,91.7,84.85,115.94297194480896,9.964498043060303,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
27,0.5067837523162365,82.1525,0.4674276554995713,83.41,62.9,94.2,86.5,116.20923256874084,9.761669874191284,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
28,0.485657099288702,83.13,0.47353192492902946,83.35,66.0,93.3,84.80000000000001,116.1667788028717,9.89465618133545,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
29,0.4777633288383484,83.37,0.46510604899912217,83.79,64.0,93.3,86.0,116.14588141441345,9.945094585418701,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
30,0.4613790866494179,83.7925,0.47626341511302006,83.94,64.8,92.6,87.0,115.8075807094574,9.75692081451416,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
31,0.4616046217799187,83.6925,0.47266343905450625,83.92,61.3,93.4,85.85,115.56374192237854,9.701097011566162,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
32,0.4537292387485504,84.17,0.46762921827764936,84.41,73.8,92.7,85.6,115.98457098007202,9.68002462387085,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
33,0.4350918573737145,84.7425,0.4509131088347052,84.62,69.6,94.7,86.65,115.1893036365509,9.7246413230896,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
34,0.42028619279265406,85.475,0.45744571420617,84.49,69.6,94.2,85.45,116.03136324882507,9.976699829101562,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
35,0.4221220049738884,85.2625,0.4557112680477337,84.69,71.2,93.8,84.94999999999999,116.07757711410522,10.330036640167236,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
36,0.4056332719385624,85.71,0.4537332953629307,85.16,65.9,93.5,88.4,119.6087257862091,10.500774145126343,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
37,0.4018566569626331,85.92,0.45390783482864977,84.78,71.6,94.6,85.44999999999999,116.78732681274414,9.789942502975464,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
38,0.385740900683403,86.775,0.4448021818011904,84.95,71.5,93.2,84.75,116.05539107322693,9.774953126907349,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
39,0.37772836765646933,86.8375,0.45587121258778407,84.98,67.8,94.0,87.95,116.31408166885376,9.663485288619995,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
40,0.37266788814365864,86.9675,0.46113847575772304,84.75,66.7,93.9,86.0,116.22688460350037,9.71392273902893,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
41,0.3593703652322292,87.4375,0.44251377128969177,85.64,69.9,94.3,88.4,116.19372987747192,9.652885913848877,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
42,0.3554818564325571,87.4575,0.4472500912416667,85.12,70.6,95.1,84.65,115.69935417175293,9.782745599746704,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
43,0.3508629287660122,87.6975,0.4446930392123104,85.56,70.5,94.5,87.55,115.6507339477539,10.064872741699219,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
44,0.34895105629861356,87.8375,0.4335729389781722,85.52,69.3,93.0,86.65,116.1738018989563,9.825496673583984,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
45,0.34159364535212516,87.99,0.4482493025188248,85.51,66.2,95.3,87.1,115.65557718276978,10.07364797592163,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
46,0.33519039563536646,88.225,0.4414211880183591,85.59,68.3,95.1,86.4,116.09585905075073,9.753173828125,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
47,0.32238331840634343,88.8,0.43324686632381554,85.7,72.6,94.8,86.1,115.98453688621521,10.019576072692871,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
48,0.32066352808177473,88.695,0.4561047029708283,85.38,74.4,93.5,86.25,115.39745211601257,9.945172548294067,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
49,0.32205523573458195,88.6925,0.43340667182603443,86.29,74.6,96.1,86.5,115.81035232543945,9.62541151046753,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
50,0.311161471837759,89.165,0.43815422346428656,86.17,70.1,93.3,88.25,116.34226512908936,9.859341621398926,0.0005,./models_efficientnet/efficientnet_02-0.2_best.pth
