Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.9734436064958571,26.5275,2.3048244953155517,10.0,0.0,100.0,0.0,9.255480289459229,3.310391664505005,./models_mobilenet/base_mobilenet_best.pth
2,1.5985052019357682,41.2625,2.3077035427093504,10.0,0.0,100.0,0.0,9.043388605117798,3.1739439964294434,./models_mobilenet/base_mobilenet_best.pth
3,1.4556824505329131,46.4475,2.3157317876815795,10.0,0.0,100.0,0.0,9.149235725402832,3.538830280303955,./models_mobilenet/base_mobilenet_best.pth
4,1.3326903015375138,51.3425,2.320628809928894,10.0,0.0,100.0,0.0,8.97238826751709,3.042983293533325,./models_mobilenet/base_mobilenet_best.pth
5,1.228139266371727,55.755,2.332613968849182,10.0,0.0,100.0,0.0,9.029735565185547,2.9981560707092285,./models_mobilenet/base_mobilenet_best.pth
6,1.17034655213356,57.6825,2.336184501647949,10.0,0.0,100.0,0.0,9.000040531158447,2.9824535846710205,./models_mobilenet/base_mobilenet_best.pth
7,1.1170217961072921,60.2925,2.33968425989151,10.0,0.0,100.0,0.0,9.21471905708313,3.018862247467041,./models_mobilenet/base_mobilenet_best.pth
8,1.0344775408506393,63.325,2.3513144493103026,10.0,0.0,100.0,0.0,9.001790761947632,2.970808744430542,./models_mobilenet/base_mobilenet_best.pth
9,0.9878968343138694,64.75,2.381284999847412,10.0,0.0,100.0,0.0,9.253710269927979,3.2416646480560303,./models_mobilenet/base_mobilenet_best.pth
10,0.9252748876810074,66.735,2.4171042680740356,10.21,0.0,97.8,0.0,9.128535270690918,3.3983895778656006,./models_mobilenet/base_mobilenet_best.pth
11,0.8702984914183617,68.9375,2.417434024810791,11.12,0.0,96.0,0.0,9.285758972167969,3.053382635116577,./models_mobilenet/base_mobilenet_best.pth
12,0.849955877661705,69.7,2.4268287777900697,11.94,0.0,97.5,0.0,9.060503244400024,3.5544798374176025,./models_mobilenet/base_mobilenet_best.pth
13,0.743961001932621,73.475,2.329630362987518,15.25,0.0,92.3,0.05,8.999387264251709,3.1792449951171875,./models_mobilenet/base_mobilenet_best.pth
14,0.6677522540092469,76.3275,2.1263323068618774,22.23,0.1,84.1,10.15,9.287177801132202,3.1126255989074707,./models_mobilenet/base_mobilenet_best.pth
15,0.6493175819516182,77.27,1.96252783536911,29.62,5.1,83.7,24.200000000000003,9.168824195861816,2.9779350757598877,./models_mobilenet/base_mobilenet_best.pth
16,0.7489781498908996,73.5775,1.5094936847686768,45.95,21.1,70.6,41.9,9.144110441207886,3.0792813301086426,./models_mobilenet/base_mobilenet_best.pth
17,0.6006711348891258,78.7225,1.5468511819839477,48.82,28.1,67.5,48.8,9.320992469787598,3.1766886711120605,./models_mobilenet/base_mobilenet_best.pth
18,0.5393006451427936,80.8725,1.7855214834213258,50.91,36.8,59.2,52.85,9.056004285812378,3.120880126953125,./models_mobilenet/base_mobilenet_best.pth
19,0.5555372275412083,80.555,2.013459491729736,50.21,34.4,76.7,48.95,9.169314622879028,3.0723114013671875,./models_mobilenet/base_mobilenet_best.pth
20,0.4972104340791702,82.24,2.1163570880889893,51.26,36.2,64.2,50.3,9.329166173934937,3.0555176734924316,./models_mobilenet/base_mobilenet_best.pth
