Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.6109096386943,40.635,2.4213001909135263,10.0,0.0,100.0,0.0,17.048741102218628,4.0750412940979,./models_mobilenet/mobilenet_01-128_best.pth
2,1.212381107167314,56.5675,1.2945822024647193,54.5,33.9,86.1,56.45,16.98320198059082,3.8061110973358154,./models_mobilenet/mobilenet_01-128_best.pth
3,0.9856745520719705,65.1,1.2117265992904012,60.56,12.6,89.9,67.6,16.96386957168579,3.76383638381958,./models_mobilenet/mobilenet_01-128_best.pth
4,0.8253403795412935,70.8225,1.0664423294836962,64.85,28.1,90.6,65.94999999999999,17.016260147094727,3.7819159030914307,./models_mobilenet/mobilenet_01-128_best.pth
5,0.71329678790257,74.9575,1.0103173893463762,67.39,33.9,87.4,71.8,16.878917694091797,3.6750593185424805,./models_mobilenet/mobilenet_01-128_best.pth
6,0.6212048370617266,78.135,1.012456091144417,68.71,40.3,87.2,76.35,17.059102058410645,3.750105619430542,./models_mobilenet/mobilenet_01-128_best.pth
7,0.5422933199725593,80.965,0.9552410493923139,69.22,38.4,87.5,69.4,17.015970706939697,3.6884701251983643,./models_mobilenet/mobilenet_01-128_best.pth
8,0.4575307008366996,83.89,1.374168877360187,62.0,33.8,90.0,61.25,17.581534385681152,4.106360197067261,./models_mobilenet/mobilenet_01-128_best.pth
9,0.4052470635396604,85.72,0.9975359249341337,71.07,49.8,86.3,68.65,17.53370213508606,4.078805208206177,./models_mobilenet/mobilenet_01-128_best.pth
10,0.34014168572121156,87.9575,1.064532858284214,70.77,55.6,84.5,74.15,17.499383687973022,3.882617235183716,./models_mobilenet/mobilenet_01-128_best.pth
11,0.28327704985111285,90.0025,1.0410958264447465,72.81,45.0,89.9,73.8,17.52751350402832,3.8726272583007812,./models_mobilenet/mobilenet_01-128_best.pth
12,0.24104009294947878,91.4825,1.2070611647412748,70.73,55.1,90.4,68.25,17.401992797851562,3.6737756729125977,./models_mobilenet/mobilenet_01-128_best.pth
13,0.2127988696360169,92.515,1.0428019679045375,73.74,51.4,87.3,76.05000000000001,17.320809364318848,3.6759300231933594,./models_mobilenet/mobilenet_01-128_best.pth
14,0.17943031527697087,93.6575,1.1926988649971877,71.57,52.9,84.0,77.1,17.17546582221985,3.776582956314087,./models_mobilenet/mobilenet_01-128_best.pth
15,0.16041489195423767,94.3225,1.162657216379914,72.68,50.6,88.4,75.85,17.23220658302307,3.8307032585144043,./models_mobilenet/mobilenet_01-128_best.pth
16,0.1552169714301539,94.58,1.2489389543291889,71.8,47.0,86.7,75.55,17.24109172821045,3.835165023803711,./models_mobilenet/mobilenet_01-128_best.pth
17,0.134000480103607,95.2675,1.2338719598100156,73.41,48.3,87.2,76.94999999999999,17.26346755027771,3.84130597114563,./models_mobilenet/mobilenet_01-128_best.pth
18,0.1222550459860708,95.625,1.2445226741742483,73.32,57.9,83.0,74.9,17.469027996063232,3.925962209701538,./models_mobilenet/mobilenet_01-128_best.pth
19,0.11604960438328239,95.915,1.2435544536838048,73.91,50.8,86.4,76.7,17.110168933868408,3.6942121982574463,./models_mobilenet/mobilenet_01-128_best.pth
20,0.09697712715655661,96.675,1.3027477283266526,74.06,46.7,84.5,80.4,17.143094301223755,3.6959259510040283,./models_mobilenet/mobilenet_01-128_best.pth
