Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.8453705953598023,30.515,1.9684124038623163,33.53,5.8,60.2,32.1,101.42101669311523,9.580366611480713,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
2,1.5347971709251405,43.6475,1.4024055419257655,51.01,18.1,82.0,51.85,100.29350638389587,9.417778491973877,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
3,1.3689875602245332,50.335,1.148700691259707,58.73,24.2,76.4,65.80000000000001,100.24398112297058,10.249090909957886,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
4,1.3591331447601318,51.555,1.4784826386850862,48.92,15.4,74.5,50.95,101.47177195549011,9.512512445449829,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
5,1.2607510966300965,54.9,1.1580466270541991,59.39,27.6,82.7,64.7,100.15640044212341,9.490561723709106,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
6,1.1325130121707916,59.93,0.9183354183507804,68.03,41.9,88.6,68.80000000000001,100.35883784294128,9.832038164138794,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
7,1.1489125422477722,59.135,1.1863513406568442,62.47,45.8,90.2,59.449999999999996,101.61586284637451,10.458837270736694,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
8,1.0574630876779556,62.7775,0.8952745326137105,68.99,49.3,89.4,66.4,99.65111517906189,9.495619773864746,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
9,1.04778828394413,63.065,0.8780645641465538,69.43,50.9,84.5,72.75,99.09637451171875,9.666555404663086,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
10,1.1006363731384277,61.3025,1.4977844303932053,59.05,26.9,81.1,58.849999999999994,99.7932071685791,9.461548328399658,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
11,1.047242127752304,63.065,0.8374522356227183,71.09,55.0,89.5,73.69999999999999,100.04322838783264,9.564948558807373,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
12,0.9914605465650559,65.3625,1.157564053425012,63.04,33.8,82.4,58.95,99.13778281211853,9.958947896957397,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
13,0.9982425909996032,64.8625,0.8330781994917141,70.43,50.6,82.5,72.3,98.39150214195251,9.642810106277466,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
14,1.0325277408123017,63.76,0.847072564422513,70.62,51.4,88.2,71.5,98.67018675804138,9.532984495162964,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
15,1.0260732225894929,63.78,0.7764450529703317,72.83,53.5,87.3,77.2,103.16032433509827,9.770236253738403,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
16,0.9310355338573456,67.3525,0.7341396287797739,74.53,51.7,85.6,79.44999999999999,98.97407603263855,9.379213571548462,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
17,0.9261408982992172,67.7775,1.1911716181249283,60.65,42.3,88.0,59.599999999999994,103.87665843963623,9.221313238143921,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
18,1.0531014096021651,62.995,0.7735844033118635,73.43,53.2,86.4,74.1,97.59451818466187,9.58200478553772,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
19,0.9156718671321868,68.095,0.782564920120346,72.53,52.7,85.7,77.5,97.99824047088623,9.686422348022461,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
20,0.9134428792238235,68.13,0.8647721208179721,70.31,26.3,89.0,75.35,100.58336544036865,9.228785991668701,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
21,0.9001506905078888,68.695,1.9310675799465788,44.6,5.8,79.4,52.75,100.00862193107605,9.494739294052124,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
22,0.962272740983963,66.04,0.8491582913568225,71.93,46.0,90.6,73.1,99.9506630897522,9.323058843612671,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
23,0.9136657120943069,67.9875,0.7948936498679292,73.35,56.3,86.5,71.85,100.46267533302307,9.494812250137329,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
24,0.9900325544118881,65.325,0.7897110470948508,72.41,45.8,88.3,77.75,100.06190991401672,9.746719598770142,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
25,0.8620355692863464,69.635,0.6747578375827009,77.0,59.9,93.7,80.65,101.73100709915161,9.80477261543274,./models_mobilenet/mobilenet_01-32-colorjitter_best.pth
