Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.6445804480075836,38.5975,1.4618224603489947,47.74,2.6,79.0,47.1,64.50654101371765,9.944169282913208,./models_mobilenet/mobilenet_01-32-hflip_best.pth
2,1.2612171874046325,54.795,1.229010409154831,56.38,21.7,87.4,62.55,63.63860011100769,9.452672481536865,./models_mobilenet/mobilenet_01-32-hflip_best.pth
3,1.1216493020534515,60.385,0.9691336663386312,66.44,39.3,82.9,71.3,62.3806574344635,9.314955234527588,./models_mobilenet/mobilenet_01-32-hflip_best.pth
4,0.981389856672287,65.105,1.114060543596554,62.16,32.3,82.9,58.95,62.979968309402466,9.88437795639038,./models_mobilenet/mobilenet_01-32-hflip_best.pth
5,0.9031822878599167,68.475,1.6854168948369286,52.46,17.2,78.9,53.0,64.12689328193665,9.47812533378601,./models_mobilenet/mobilenet_01-32-hflip_best.pth
6,0.9068107683658599,68.36,0.8433479651951561,70.74,53.4,85.4,73.4,63.74089169502258,9.336397409439087,./models_mobilenet/mobilenet_01-32-hflip_best.pth
7,0.822586219072342,71.37,0.7846112446472667,72.75,29.2,87.3,76.6,63.900468826293945,9.836652517318726,./models_mobilenet/mobilenet_01-32-hflip_best.pth
8,0.7488086442232132,74.0125,0.7547172499350465,73.92,49.2,91.0,77.05,62.9933807849884,9.306492567062378,./models_mobilenet/mobilenet_01-32-hflip_best.pth
9,0.7099113963842392,75.435,1.0307498107941007,66.5,43.1,85.2,69.1,63.49615740776062,9.305761098861694,./models_mobilenet/mobilenet_01-32-hflip_best.pth
10,0.7084129685878754,75.4,0.6912160059942986,76.6,60.5,93.5,75.45,62.839967250823975,9.341029405593872,./models_mobilenet/mobilenet_01-32-hflip_best.pth
11,0.6047120769858361,79.165,4.756538276474316,56.11,13.2,82.8,55.900000000000006,62.301159620285034,9.359963655471802,./models_mobilenet/mobilenet_01-32-hflip_best.pth
12,0.6346654133677483,77.8975,0.7208994276012285,76.49,61.5,90.7,75.25,66.38474655151367,10.177838802337646,./models_mobilenet/mobilenet_01-32-hflip_best.pth
13,0.5686791652798653,80.42,0.6172372030135923,78.22,58.3,87.7,79.25,65.28884148597717,9.93906283378601,./models_mobilenet/mobilenet_01-32-hflip_best.pth
14,0.5558185530543327,80.7875,0.6688119293020937,77.06,47.5,86.7,81.4,62.44640874862671,9.661695003509521,./models_mobilenet/mobilenet_01-32-hflip_best.pth
15,0.5502830400705337,81.0425,0.700519482477214,75.94,52.9,93.5,76.55,63.7284517288208,9.54018521308899,./models_mobilenet/mobilenet_01-32-hflip_best.pth
16,0.5265416548669338,81.83,0.6805487211805563,76.67,55.1,92.5,79.5,64.288583278656,9.633313417434692,./models_mobilenet/mobilenet_01-32-hflip_best.pth
17,0.4969055739104748,82.815,0.7732485942066477,74.94,48.2,92.8,77.4,64.32577443122864,9.905601739883423,./models_mobilenet/mobilenet_01-32-hflip_best.pth
18,0.48724469941854476,83.065,0.6583570924858315,77.69,60.2,87.8,80.75,64.31982326507568,9.735937356948853,./models_mobilenet/mobilenet_01-32-hflip_best.pth
19,0.496730731099844,82.775,0.6442727806231084,78.45,48.7,90.3,81.05000000000001,64.324955701828,9.324929475784302,./models_mobilenet/mobilenet_01-32-hflip_best.pth
20,0.4500010012149811,84.2425,0.6994948714209822,76.98,55.3,87.9,79.9,64.00857925415039,9.494666337966919,./models_mobilenet/mobilenet_01-32-hflip_best.pth
21,0.7364903245687485,74.44,0.6395282399135466,77.87,58.8,90.3,79.3,68.58794116973877,10.003305673599243,./models_mobilenet/mobilenet_01-32-hflip_best.pth
22,0.6935829486727715,75.9875,0.6119202687717474,79.08,58.5,91.2,81.7,69.76886796951294,10.535616636276245,./models_mobilenet/mobilenet_01-32-hflip_best.pth
23,0.6431500175833702,77.4625,0.5863545624949871,80.07,55.7,91.4,85.85,72.23113298416138,13.279159545898438,./models_mobilenet/mobilenet_01-32-hflip_best.pth
24,0.6196393097639084,78.345,0.5474865000587873,81.11,65.5,89.7,84.75,71.04250025749207,9.719029426574707,./models_mobilenet/mobilenet_01-32-hflip_best.pth
25,0.6157020058751106,78.64,0.6363974175276086,79.01,55.9,91.7,83.4,68.43569850921631,10.392948150634766,./models_mobilenet/mobilenet_01-32-hflip_best.pth
