Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.6417005210399627,38.7875,2.036630928421173,40.68,16.3,75.5,35.7,61.35531401634216,9.694556951522827,./models_mobilenet/mobilenet_01-32-normalize_best.pth
2,1.3106461734294892,52.5325,1.1987687266006257,58.07,25.8,83.7,60.1,60.433103799819946,9.501200437545776,./models_mobilenet/mobilenet_01-32-normalize_best.pth
3,1.1318892263889313,59.745,1.1217979718797124,61.57,24.1,84.6,66.2,60.27790021896362,9.377561330795288,./models_mobilenet/mobilenet_01-32-normalize_best.pth
4,0.9826611251354217,65.495,0.9476899461338695,66.75,34.4,84.4,71.25,61.305949449539185,9.44292950630188,./models_mobilenet/mobilenet_01-32-normalize_best.pth
5,0.9263781822681427,67.7975,1.1683993992714075,59.85,29.2,77.5,64.65,61.28904891014099,9.386143207550049,./models_mobilenet/mobilenet_01-32-normalize_best.pth
6,0.8391536570310593,70.86,0.8779258542357923,69.62,44.6,86.7,73.6,60.74016547203064,9.51932168006897,./models_mobilenet/mobilenet_01-32-normalize_best.pth
7,0.7965400346755982,72.48,0.7547207700606352,73.86,51.8,89.0,75.5,60.90957951545715,9.367990970611572,./models_mobilenet/mobilenet_01-32-normalize_best.pth
8,0.7138894952058792,75.32,0.7492652428797639,73.7,55.4,90.3,73.0,61.63583827018738,9.495265245437622,./models_mobilenet/mobilenet_01-32-normalize_best.pth
9,0.6822854961872101,76.1175,0.7223206474282109,75.05,52.9,91.2,75.4,61.46710181236267,9.84182858467102,./models_mobilenet/mobilenet_01-32-normalize_best.pth
10,0.5844365169882775,79.66,0.6791775546396692,76.46,49.7,91.2,81.1,61.28052639961243,9.396463632583618,./models_mobilenet/mobilenet_01-32-normalize_best.pth
11,0.5662527875304222,80.1875,0.6909843266557771,76.8,50.0,91.1,82.6,60.640350103378296,9.314861297607422,./models_mobilenet/mobilenet_01-32-normalize_best.pth
12,0.5324333876043558,81.31,0.7355005740524291,76.24,62.5,88.1,77.65,60.943466901779175,9.609806299209595,./models_mobilenet/mobilenet_01-32-normalize_best.pth
13,0.482144540899992,83.1675,0.7027590187331929,76.84,59.9,91.8,79.05000000000001,61.951260566711426,9.75108528137207,./models_mobilenet/mobilenet_01-32-normalize_best.pth
14,0.42047753348350525,85.3175,0.7176786679357957,77.22,60.0,92.4,78.2,63.02029204368591,9.37137508392334,./models_mobilenet/mobilenet_01-32-normalize_best.pth
15,0.4323000793635845,84.7975,0.6810095864184462,77.89,60.4,90.3,79.3,61.52067542076111,9.43462324142456,./models_mobilenet/mobilenet_01-32-normalize_best.pth
16,0.3516409158051014,87.48,0.8558914995404144,76.52,62.3,91.4,74.65,61.5897912979126,9.653106451034546,./models_mobilenet/mobilenet_01-32-normalize_best.pth
17,0.3186985076546669,88.7225,0.7670448966586171,77.74,55.8,93.7,78.8,62.06638979911804,9.798518896102905,./models_mobilenet/mobilenet_01-32-normalize_best.pth
18,0.26186835058033464,90.785,0.7898399232270809,77.95,59.0,92.1,80.05,61.683762073516846,9.42897653579712,./models_mobilenet/mobilenet_01-32-normalize_best.pth
19,0.3015781628668308,89.3075,0.7392953477930814,78.38,53.8,89.6,81.8,61.22611474990845,9.428162336349487,./models_mobilenet/mobilenet_01-32-normalize_best.pth
20,0.23786161602437497,91.6025,0.7684075165057953,79.34,59.1,88.7,84.75,61.38324451446533,9.516380071640015,./models_mobilenet/mobilenet_01-32-normalize_best.pth
21,0.2320621455952525,91.885,0.8888036203317748,75.88,55.4,87.3,82.35,61.14966559410095,9.850159645080566,./models_mobilenet/mobilenet_01-32-normalize_best.pth
22,0.21592934114933013,92.425,0.7932075746833517,78.48,64.3,90.0,76.3,61.613192081451416,9.70353627204895,./models_mobilenet/mobilenet_01-32-normalize_best.pth
23,0.16922340584918857,94.16,0.8502721286619814,78.29,57.7,89.2,81.5,62.14714002609253,10.076886653900146,./models_mobilenet/mobilenet_01-32-normalize_best.pth
24,0.1664460167001933,94.2475,0.9377549670386714,76.45,47.6,91.5,77.15,62.53984570503235,9.749003171920776,./models_mobilenet/mobilenet_01-32-normalize_best.pth
25,0.1819701477330178,93.61,0.7887579268752076,78.44,55.2,91.0,79.25,61.28590416908264,9.561340808868408,./models_mobilenet/mobilenet_01-32-normalize_best.pth
