Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.882468653869629,28.65,1.791995750067714,34.43,1.7,75.9,40.55,77.17906427383423,11.482372999191284,./models_mobilenet/mobilenet_01-32-rerase_best.pth
2,1.6682942962646485,37.88,1.548884841009451,43.65,20.1,69.3,45.15,75.5154218673706,10.110435009002686,./models_mobilenet/mobilenet_01-32-rerase_best.pth
3,1.542916168498993,43.19,1.4382879109428333,47.63,6.5,71.8,57.599999999999994,79.48693370819092,10.446367502212524,./models_mobilenet/mobilenet_01-32-rerase_best.pth
4,1.517436576271057,44.7375,1.4810551244039505,47.25,19.5,78.8,49.15,75.11269974708557,10.402480363845825,./models_mobilenet/mobilenet_01-32-rerase_best.pth
5,1.41974362783432,48.2875,1.27141250170077,54.19,34.2,77.3,57.2,76.25983238220215,10.800581216812134,./models_mobilenet/mobilenet_01-32-rerase_best.pth
6,1.3575778715133666,50.875,1.1614213107873836,57.45,32.0,84.8,60.85,77.54752612113953,12.698802947998047,./models_mobilenet/mobilenet_01-32-rerase_best.pth
7,1.2902228468894958,53.46,1.1381422987285132,59.64,37.3,81.7,58.55,79.23855495452881,12.874353647232056,./models_mobilenet/mobilenet_01-32-rerase_best.pth
8,1.1879222518920898,57.05,1.0872596989805325,60.91,37.1,82.5,62.3,79.25587034225464,11.979528903961182,./models_mobilenet/mobilenet_01-32-rerase_best.pth
9,1.1129315850257873,59.885,0.9994644912572714,64.98,38.7,84.9,69.65,79.81065392494202,11.992741584777832,./models_mobilenet/mobilenet_01-32-rerase_best.pth
10,1.1253641330242157,59.8675,0.9560550393673558,65.91,37.6,87.6,63.1,80.00572633743286,11.848262786865234,./models_mobilenet/mobilenet_01-32-rerase_best.pth
11,1.0311202517509461,63.3175,0.9209204507521547,67.25,44.5,90.3,65.6,80.62047362327576,11.534138679504395,./models_mobilenet/mobilenet_01-32-rerase_best.pth
12,0.9982496811389923,64.695,0.9176973611616288,67.39,35.0,91.5,67.69999999999999,77.63085627555847,9.98358678817749,./models_mobilenet/mobilenet_01-32-rerase_best.pth
13,0.9882444941043854,65.035,0.9343833556761757,67.88,47.9,82.5,69.35,75.44432163238525,10.913175821304321,./models_mobilenet/mobilenet_01-32-rerase_best.pth
14,0.9344417895555496,66.675,0.8653148735245577,71.19,52.3,88.3,69.7,76.54850029945374,9.533047676086426,./models_mobilenet/mobilenet_01-32-rerase_best.pth
15,0.9225701817989349,67.56,0.8796054685172944,68.89,31.4,91.1,69.75,73.77955842018127,9.282211065292358,./models_mobilenet/mobilenet_01-32-rerase_best.pth
16,0.9474350924015045,66.6675,0.8300798647224713,71.2,40.6,87.2,73.65,74.34737801551819,9.876400709152222,./models_mobilenet/mobilenet_01-32-rerase_best.pth
17,0.8849921108484268,68.745,0.7109380502241869,74.78,59.4,90.5,78.0,74.83923292160034,9.503589391708374,./models_mobilenet/mobilenet_01-32-rerase_best.pth
18,0.843324455690384,70.2,0.7199512708206146,75.0,57.1,88.5,77.1,74.83155655860901,9.788584232330322,./models_mobilenet/mobilenet_01-32-rerase_best.pth
19,0.8206320565700531,70.9225,0.7404312372398072,74.14,59.2,87.9,73.75,74.31882047653198,9.28988528251648,./models_mobilenet/mobilenet_01-32-rerase_best.pth
20,0.8082938640594483,71.5975,0.7191804430117241,74.47,54.7,92.7,72.80000000000001,74.58739161491394,9.524559497833252,./models_mobilenet/mobilenet_01-32-rerase_best.pth
21,0.7801432002782822,72.72,0.6751757396248202,76.88,60.2,90.6,80.25,74.19619560241699,9.710307836532593,./models_mobilenet/mobilenet_01-32-rerase_best.pth
22,0.7757402900218964,72.655,0.6644712947963621,76.9,63.6,92.3,77.1,73.82783508300781,9.370140314102173,./models_mobilenet/mobilenet_01-32-rerase_best.pth
23,0.7218908677101136,74.7025,0.6430972638233496,77.96,58.9,93.2,76.15,73.92779779434204,9.916322231292725,./models_mobilenet/mobilenet_01-32-rerase_best.pth
24,0.7316237651586532,74.2,0.609976064401884,79.24,56.7,91.9,81.44999999999999,75.04693007469177,9.38954782485962,./models_mobilenet/mobilenet_01-32-rerase_best.pth
25,0.7261114640712738,74.5125,0.6314706513985467,78.07,55.1,89.9,80.44999999999999,74.4153254032135,9.989032983779907,./models_mobilenet/mobilenet_01-32-rerase_best.pth
