Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.714532133769989,35.7975,1.507482127831005,44.57,14.1,60.2,51.75,68.667551279068,9.675710678100586,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
2,1.5430461834430695,43.605,1.4341725705149837,47.78,31.7,69.9,48.55,69.96574711799622,9.975614547729492,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
3,1.5012961116313934,45.7825,1.6311758063471735,40.41,6.3,72.4,38.55,69.2632794380188,9.531500577926636,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
4,1.4588833206653595,47.1675,1.2722370446490023,54.81,14.1,79.4,61.9,68.83769798278809,9.647668838500977,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
5,1.3315868578910828,51.7925,1.2177111416959916,56.55,25.4,86.0,60.1,68.64707207679749,9.951948404312134,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
6,1.2052481484889983,56.55,1.3857936872460972,55.09,24.8,87.0,53.8,68.5264732837677,9.852297306060791,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
7,1.1481714334487916,59.06,1.0124218554352038,63.57,43.2,84.4,66.85,69.30537509918213,9.603832960128784,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
8,1.0465905321121216,62.84,1.2785358874561688,55.67,26.9,71.9,60.849999999999994,68.73955869674683,9.917827367782593,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
9,1.1088429865837097,60.4125,1.0982600515262007,60.99,34.4,85.9,59.85,69.15495014190674,9.62678337097168,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
10,1.0643471439123153,62.445,1.0378071313944106,63.81,28.6,88.6,65.85,68.5287115573883,9.652256488800049,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
11,1.0153733849287032,64.315,1.0141567723533977,64.94,48.6,84.0,62.349999999999994,69.47594165802002,9.877920866012573,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
12,0.9362775558710098,67.12,0.8657959336623217,69.83,46.7,88.2,70.15,68.2953553199768,9.781826734542847,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
13,0.9101420858383179,67.9425,0.8238971706110829,70.85,55.8,87.1,74.6,68.01291298866272,9.404029369354248,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
14,0.8840272587060929,68.9175,0.7940875259927287,72.2,47.0,85.4,74.75,67.83212780952454,9.960393190383911,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
15,0.8792767150402069,68.9975,0.7345976694085347,74.02,55.7,87.1,78.80000000000001,67.76005721092224,9.4013991355896,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
16,0.8265000867128373,71.1725,0.727347589886417,74.66,56.7,88.0,75.75,67.7367696762085,9.414032220840454,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
17,0.770204886007309,73.15,0.7114584111510375,75.51,51.4,88.6,79.9,67.57116436958313,9.741549730300903,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
18,0.7679408620357513,73.22,0.671343815474274,76.46,55.6,89.9,82.05,69.05751705169678,9.94939637184143,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
19,0.7968993752241135,72.255,0.673118090215392,76.74,58.6,90.1,79.3,69.03725910186768,9.605620861053467,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
20,0.7291666091561317,74.685,0.6573238987773181,77.3,58.8,91.8,77.1,68.47136497497559,9.525052785873413,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
21,0.6817379488706589,76.1975,0.7001631612690112,75.94,51.8,90.0,75.95,68.80800890922546,9.590185642242432,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
22,0.6678212827801704,76.855,0.6388657964266147,77.8,61.6,91.4,81.0,67.92110514640808,9.433318614959717,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
23,0.654625315129757,77.035,0.6302610501266135,78.1,58.1,87.8,80.6,67.44542717933655,9.271040201187134,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
24,0.6533472384095192,77.355,0.626981439015355,78.06,56.0,87.2,79.15,69.75533676147461,9.720860242843628,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
25,0.6494417320251464,77.355,0.612239409559451,78.51,57.1,91.8,78.85,67.37485408782959,9.55483341217041,./models_mobilenet/mobilenet_01-32-rrotation_best.pth
