Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Learning Rate,Model Filename
1,1.831354643535614,31.2825,1.8239013255594638,41.15,6.9,81.0,45.150000000000006,97.79846787452698,9.525841236114502,0.0005,./models_mobilenet/mobilenet_01-do-0.3_best.pth
2,1.5209757552623748,44.685,1.3590594611038416,50.79,14.9,78.0,56.15,98.11861634254456,9.92689561843872,0.0005,./models_mobilenet/mobilenet_01-do-0.3_best.pth
3,1.3431633906841278,51.6825,1.1791304238973714,57.76,30.3,88.0,59.8,98.38392162322998,9.391429901123047,0.0005,./models_mobilenet/mobilenet_01-do-0.3_best.pth
4,1.2314087234973907,56.24,1.12530375583865,59.8,30.5,83.5,60.0,100.05515813827515,9.541370868682861,0.0005,./models_mobilenet/mobilenet_01-do-0.3_best.pth
5,1.1458378559589386,59.325,1.047762688308859,63.43,43.2,82.5,65.25,98.989102602005,9.616486310958862,0.0005,./models_mobilenet/mobilenet_01-do-0.3_best.pth
6,1.0953899343967437,61.215,1.0239384696958735,64.53,29.6,92.6,65.4,98.258065700531,9.238658905029297,0.0005,./models_mobilenet/mobilenet_01-do-0.3_best.pth
7,1.0375518216609956,63.66,0.8718852866381502,68.95,39.5,85.9,71.5,98.97962164878845,9.625142574310303,0.0005,./models_mobilenet/mobilenet_01-do-0.3_best.pth
8,0.9994267046928406,64.9925,0.842300857408359,70.68,44.6,92.7,71.15,99.40384340286255,9.760815382003784,0.0005,./models_mobilenet/mobilenet_01-do-0.3_best.pth
9,0.9386363390922546,67.0975,0.7768260429675777,72.63,52.3,90.3,72.19999999999999,98.97583389282227,9.410844087600708,0.0005,./models_mobilenet/mobilenet_01-do-0.3_best.pth
10,0.9019538891553879,68.415,0.8260936684930287,71.43,46.1,87.6,74.35,99.45669841766357,9.421155214309692,0.0005,./models_mobilenet/mobilenet_01-do-0.3_best.pth
11,0.8692896000623703,69.745,0.7397770279417404,74.34,52.6,92.2,78.2,100.92553186416626,9.349338293075562,0.0005,./models_mobilenet/mobilenet_01-do-0.3_best.pth
12,0.8412451469182968,70.5125,0.7128327132318728,75.1,50.9,88.1,78.35,100.0566303730011,9.328250408172607,0.0005,./models_mobilenet/mobilenet_01-do-0.3_best.pth
