Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Model Filename
1,1.8203330619812013,32.085,1.490375434819121,45.22,24.5,73.3,42.099999999999994,103.6421000957489,10.470781326293945,./models_mobilenet/mobilenet_01-lr_0.0005_best.pth
2,1.487982207965851,45.2875,1.3246865546741424,50.93,19.5,84.5,52.7,103.83449649810791,10.639838457107544,./models_mobilenet/mobilenet_01-lr_0.0005_best.pth
3,1.3253617361068726,52.63,1.1005984272438878,60.71,18.9,80.3,63.5,103.25215196609497,10.342572450637817,./models_mobilenet/mobilenet_01-lr_0.0005_best.pth
4,1.2096707573890686,56.97,1.0264243317869144,63.25,36.8,83.7,62.1,103.99655747413635,10.14487624168396,./models_mobilenet/mobilenet_01-lr_0.0005_best.pth
5,1.1110872011184691,60.4975,1.0180271239326404,63.93,29.8,86.3,63.2,103.14929938316345,10.443674564361572,./models_mobilenet/mobilenet_01-lr_0.0005_best.pth
6,1.0438179454803467,63.0425,0.9546524743778637,66.55,35.9,86.8,69.15,102.93095541000366,10.372420310974121,./models_mobilenet/mobilenet_01-lr_0.0005_best.pth
7,1.0025725502252578,64.625,0.828245227781538,70.83,46.9,90.6,72.1,102.9396595954895,10.493071794509888,./models_mobilenet/mobilenet_01-lr_0.0005_best.pth
8,0.9403647206306458,67.145,0.8067019497291349,71.97,49.1,90.6,71.05,103.27750372886658,10.63672423362732,./models_mobilenet/mobilenet_01-lr_0.0005_best.pth
9,0.8960740868330002,68.6275,0.7424647734759334,73.97,41.3,90.4,76.85,103.05244016647339,10.326697587966919,./models_mobilenet/mobilenet_01-lr_0.0005_best.pth
10,0.8488376373291016,70.3225,0.723697056904578,75.15,52.0,89.0,80.0,107.7569625377655,11.801633834838867,./models_mobilenet/mobilenet_01-lr_0.0005_best.pth
11,0.8261586693286895,71.1425,0.8387764435984527,70.89,50.4,95.9,68.19999999999999,106.37015438079834,15.967895984649658,./models_mobilenet/mobilenet_01-lr_0.0005_best.pth
