Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy,Min Val Acc,Max Val Acc,Median Val Acc,Training Time (s),Validation Time (s),Learning Rate,Model Filename
1,1.7254448696136475,35.7275,1.5060888877311074,47.32,3.1,77.2,55.05,109.50053215026855,10.92282509803772,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
2,1.3367440922737122,51.46,1.0515061426467407,62.84,30.4,83.8,60.55,108.6061704158783,10.713261365890503,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
3,1.1372172896385193,59.5525,1.0670529535641304,63.75,19.5,89.8,62.1,108.54254698753357,10.295358896255493,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
4,0.9977192770242691,65.0725,0.7674245622020941,73.57,51.3,91.8,72.5,108.74196028709412,10.45827341079712,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
5,0.8907352841138839,68.935,0.7422004080951785,74.97,58.5,92.5,76.30000000000001,110.203364610672,10.63753628730774,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
6,0.8264679869174957,71.1175,0.6949255859699494,75.66,52.9,92.2,79.25,109.34767723083496,9.714895248413086,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
7,0.7759232339382172,72.9675,0.6476168198445544,77.8,54.3,92.1,80.80000000000001,108.94706058502197,10.800119161605835,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
8,0.7180392159461975,75.0375,0.6075562839768232,79.13,56.5,94.2,78.9,108.67518448829651,10.409282684326172,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
9,0.678860358440876,76.555,0.5529400644282373,81.19,63.4,95.7,81.6,109.09085726737976,10.105483531951904,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
10,0.6410478041529656,77.7625,0.5260314394931157,82.24,70.8,95.6,81.69999999999999,109.93136548995972,10.285830736160278,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
11,0.610692205631733,79.025,0.5187618551365198,82.25,68.7,94.9,84.9,109.25579524040222,9.959782123565674,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
12,0.5831809380531311,79.9425,0.49144400929074034,83.41,65.5,95.3,84.05000000000001,111.27115678787231,11.342797756195068,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
13,0.5579888754963874,80.645,0.46928671737627004,83.82,67.0,95.7,85.5,109.25355839729309,10.326183795928955,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
14,0.529309425842762,81.64,0.4701574816786574,84.36,70.8,97.9,84.65,109.3645327091217,10.431410551071167,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
15,0.5098287336945534,82.2975,0.484271829195035,83.93,54.6,94.5,87.15,108.18372368812561,10.488857984542847,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
16,0.4904355422437191,82.955,0.49804013748928466,83.2,63.7,98.8,83.6,109.00960946083069,10.678375959396362,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
17,0.4645954018950462,83.9275,0.44252936812950827,84.67,63.5,95.6,86.75,108.49302554130554,10.475443840026855,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
18,0.45057078139781953,84.1125,0.4289801676903432,85.63,65.5,96.1,87.9,109.4816083908081,10.368674516677856,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
19,0.4309815033406019,84.9775,0.41112348223930767,86.17,68.7,97.0,86.55,109.37691855430603,10.483452796936035,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
20,0.41467981744706633,85.5325,0.4037236452531129,86.52,68.3,95.7,89.19999999999999,109.78713417053223,10.610175371170044,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
21,0.40204325998425483,85.9225,0.38813184860486766,87.08,76.1,96.3,87.7,108.70009803771973,10.558486223220825,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
22,0.38308308877646924,86.735,0.3881680869732421,87.39,72.5,95.5,88.75,108.66446828842163,10.859209060668945,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
23,0.3753747566014528,86.9525,0.4044509777515091,87.05,77.2,96.7,87.35,108.58572721481323,11.04895305633545,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
24,0.35865003184378147,87.63,0.41313286298534835,86.97,75.5,96.3,86.4,109.37246012687683,10.816163301467896,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
25,0.34560515785813334,87.9525,0.38440889612840007,87.09,71.7,96.1,89.65,108.10376000404358,11.088166952133179,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
26,0.33727358847260475,88.115,0.37099711636669735,87.81,75.0,97.8,88.65,106.72574973106384,9.638980865478516,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
27,0.32268422054350376,88.7525,0.4069580665325371,86.84,74.0,96.4,86.95,102.21992444992065,9.352960348129272,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
28,0.3111113056212664,89.035,0.406631583745142,86.81,63.1,95.3,87.0,101.63998055458069,9.208513498306274,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
29,0.2982056135177612,89.535,0.3613176653634001,88.44,73.6,96.4,89.05000000000001,101.74249148368835,9.389381408691406,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
30,0.29018503463193773,89.8325,0.3731915310847933,88.17,73.6,96.3,88.6,101.95598649978638,9.708753824234009,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
31,0.2828926219403744,89.8875,0.3896384730075185,87.84,66.0,96.6,90.65,102.92797255516052,9.01961088180542,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
32,0.27658485686182976,90.3675,0.3765707345894752,88.2,77.8,97.8,89.05,100.04219150543213,9.102721214294434,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
33,0.26823920023143294,90.71,0.38435032128463514,87.83,66.6,96.4,88.05,99.5541045665741,9.378730058670044,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
34,0.2568485044926405,90.985,0.39227613362058933,87.89,63.0,97.3,90.9,99.15627193450928,9.067350625991821,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
35,0.2524787604525685,91.31,0.38582006950614256,88.0,80.6,95.6,87.65,99.4833357334137,8.97590684890747,0.0005,./models_mobilenet/mobilenet_03-0.3_best.pth
36,0.19030004970133305,93.4125,0.3409888622040054,89.63,76.7,96.4,90.65,100.0057020187378,9.001996040344238,0.00025,./models_mobilenet/mobilenet_03-0.3_best.pth
37,0.16787118958756328,93.9775,0.3589490873768134,89.53,78.2,96.7,90.30000000000001,100.71060419082642,9.035778999328613,0.00025,./models_mobilenet/mobilenet_03-0.3_best.pth
38,0.16283186705112457,94.2775,0.36940079421112193,89.24,72.6,96.4,90.3,100.79310822486877,8.943132162094116,0.00025,./models_mobilenet/mobilenet_03-0.3_best.pth
39,0.15913660718724132,94.4525,0.3648593660388975,89.49,77.6,96.0,90.69999999999999,100.89573073387146,9.408947944641113,0.00025,./models_mobilenet/mobilenet_03-0.3_best.pth
40,0.15444168154634536,94.6,0.3655468384588744,89.41,80.0,96.6,90.6,100.17622661590576,9.03661060333252,0.00025,./models_mobilenet/mobilenet_03-0.3_best.pth
41,0.14721077786311507,94.87,0.3848562861587064,89.21,71.3,96.7,89.4,101.34171891212463,9.249578952789307,0.00025,./models_mobilenet/mobilenet_03-0.3_best.pth
42,0.13744998012352735,95.3,0.3714863106833597,89.61,75.8,96.8,90.1,100.38174629211426,9.249146223068237,0.00025,./models_mobilenet/mobilenet_03-0.3_best.pth
43,0.11456185549870133,96.1125,0.3714366574171401,90.03,75.4,97.1,92.25,101.09439516067505,8.98923397064209,0.000125,./models_mobilenet/mobilenet_03-0.3_best.pth
44,0.10900599566791207,96.265,0.3635345091422151,90.31,77.9,96.5,90.94999999999999,100.56912350654602,9.303112506866455,0.000125,./models_mobilenet/mobilenet_03-0.3_best.pth
